sra_accession,site_name,sequencing_lab,date,n_reads_profiled,n_reads_profiled_passed_qc,total_read_pairs,n_reads_classified_1_clade_non_rrna,n_reads_classified_1_clade_rrna,n_reads_unclassified_0_clade_non_rrna,n_reads_unclassified_0_clade_rrna,n_reads_root_direct_1_non_rrna,n_reads_root_direct_1_rrna,rrna_fraction,fraction_qc_filtered,n_reads_cellular_organisms_131567_clade_non_rrna,n_reads_cellular_organisms_131567_clade_rrna,n_reads_cellular_organisms_131567_direct_non_rrna,n_reads_cellular_organisms_131567_direct_rrna,n_reads_bacteria_2_clade_non_rrna,n_reads_bacteria_2_clade_rrna,n_reads_archaea_2157_clade_non_rrna,n_reads_archaea_2157_clade_rrna,n_reads_eukaryota_2759_clade_non_rrna,n_reads_eukaryota_2759_clade_rrna,n_reads_viruses_10239_clade_non_rrna,n_reads_viruses_10239_clade_rrna,n_reads_unclassified_entries_2787823_clade_non_rrna,n_reads_unclassified_entries_2787823_clade_rrna,n_reads_other_entries_2787854_clade_non_rrna,n_reads_other_entries_2787854_clade_rrna,n_reads_pmmov_12239_clade_non_rrna,n_reads_tobamovirus_12234_clade_non_rrna,n_reads_tbrv_12275_clade_non_rrna,n_reads_tobrfv_3432872_clade_non_rrna,n_reads_tmv_3432892_clade_non_rrna,n_reads_cgmmv_3432895_clade_non_rrna,fraction_classified_1_clade_non_rrna,fraction_classified_1_clade_rrna,fraction_unclassified_0_clade_non_rrna,fraction_unclassified_0_clade_rrna,fraction_root_direct_1_non_rrna,fraction_root_direct_1_rrna,fraction_cellular_organisms_131567_clade_non_rrna,fraction_cellular_organisms_131567_clade_rrna,fraction_cellular_organisms_131567_direct_non_rrna,fraction_cellular_organisms_131567_direct_rrna,fraction_bacteria_2_clade_non_rrna,fraction_bacteria_2_clade_rrna,fraction_archaea_2157_clade_non_rrna,fraction_archaea_2157_clade_rrna,fraction_eukaryota_2759_clade_non_rrna,fraction_eukaryota_2759_clade_rrna,fraction_viruses_10239_clade_non_rrna,fraction_viruses_10239_clade_rrna,fraction_unclassified_entries_2787823_clade_non_rrna,fraction_unclassified_entries_2787823_clade_rrna,fraction_other_entries_2787854_clade_non_rrna,fraction_other_entries_2787854_clade_rrna,fraction_pmmov_12239_clade_non_rrna,fraction_tobamovirus_12234_clade_non_rrna,fraction_tbrv_12275_clade_non_rrna,fraction_tobrfv_3432872_clade_non_rrna,fraction_tmv_3432892_clade_non_rrna,fraction_cgmmv_3432895_clade_non_rrna
SAMN55037916,"Columbia WWTP, MO",MU,2023-12-26,4999215,4935585,921045273,429774,2797748,1561948,146115,299,86,0.5888650518131346,0.0127279982957324,348900,2797382,1174,17025,342350,2761786,1356,8199,4020,10372,80575,280,0,0,0,0,1848,27579,0,23197,106,693,0.0859682970226325,0.5596374630817038,0.3124386528685003,0.0292275887314308,5.9809390074241655e-05,1.7202700824029373e-05,0.0697909571802773,0.5595642515874992,0.0002348368693884,0.003405534668943,0.068480751477982,0.5524439336975905,0.0002712425850858,0.0016400574890257,0.0008041262478209,0.0020747257319399,0.016117530452281,5.600879338056075e-05,0.0,0.0,0.0,0.0,0.0003696580363117,0.0055166661165803,0.0,0.0046401285001745,2.1203328922640857e-05,0.0001386217636168
SAMN52958976,"Columbia WWTP, MO",MU,2024-01-02,14997875,14876265,2631730289,1818747,7720600,5097238,239680,740,329,0.5307605244076244,,1663843,7718473,6741,37860,1636399,7617240,4342,16182,16361,47191,154163,1798,0,0,1,0,5449,83852,0,72528,384,2034,0.1212669794887609,0.5147795937757849,0.3398640140686597,0.0159809306318395,4.9340323212455096e-05,2.193644099580774e-05,0.1109385829659201,0.5146377736846053,0.0004494636740204,0.0025243576173291,0.1091087237358625,0.5078879507930291,0.0002895076802547,0.0010789528516539,0.0010908878757824,0.0031465124225932,0.0102789895235158,0.0001198836501837,0.0,0.0,6.667611244926366e-08,0.0,0.000363318136736,0.0055909253810956,0.0,0.0048358850837201,2.560362718051724e-05,0.0001356192127218
SAMN52958977,"Columbia WWTP, MO",MU,2024-01-09,14995050,14847703,2484427743,1510956,8092717,4949219,294811,962,340,0.559353119862888,,1287313,8090157,8170,46674,1258252,7966821,4678,20146,16213,56516,222680,2220,0,0,1,0,7256,101088,0,84608,514,3157,0.1007636520051617,0.539692565213187,0.3300568520945245,0.019660554649701,6.415450431975886e-05,2.2674149135881508e-05,0.0858491969016442,0.5395218422079286,0.0005448464660004,0.003112627166965,0.0839111573485917,0.5312967279202137,0.0003119696166401,0.0013435100249749,0.0010812234704119,0.0037689770957749,0.0148502339105238,0.0001480488561225,0.0,0.0,6.668867392906327e-08,0.0,0.0004838930180292,0.0067414246701411,0.0,0.0056423953237901,3.4277978399538515e-05,0.000210536143594
SAMN52958978,"Columbia WWTP, MO",MU,2024-01-16,8010601,7894411,1351694366,692129,2129617,4984532,88133,582,104,0.2768518866437112,,492176,2128993,3117,9032,454226,2106307,2219,4868,32614,8786,199371,520,0,0,0,0,22612,153222,0,102797,1053,4174,0.0864016320373465,0.2658498407298029,0.6222419516338412,0.0110020459139083,7.265372473301317e-05,1.2982796172222284e-05,0.0614405835467276,0.2657719439527696,0.0003891093814309,0.001127505913726,0.0567031112896523,0.262939946703125,0.0002770079298669,0.0006076947285228,0.0040713549457774,0.0010967966073956,0.0248883947658858,6.491398086111141e-05,0.0,0.0,0.0,0.0,0.0028227594908297,0.0191274037990407,0.0,0.0128326201741916,0.0001314508112437,0.0005210595309889
SAMN52958979,"Columbia WWTP, MO",MU,2024-01-23,8010635,7884597,1341763590,708937,1721635,5361343,92682,646,80,0.2264885368013896,,566246,1721038,3835,7775,518028,1699388,2059,4878,42324,8997,142044,517,0,0,1,0,13614,105160,0,74324,666,1912,0.0884994760090804,0.214918667496397,0.6692781533548838,0.0115698693049926,8.064279548375378e-05,9.986723898916878e-06,0.070686780760826,0.2148441415693013,0.0004787385769043,0.0009705847289259,0.0646675325988514,0.2121414844141569,0.0002570333063483,0.0006089404897364,0.0052834762787219,0.0011231319364819,0.0177319276187218,6.453920319675032e-05,0.0,0.0,1.2483404873646098e-07,0.0,0.0016994907394981,0.0131275485651262,0.0,0.0092781658382887,8.313947645848301e-05,0.0002386827011841
SAMN52958980,"Columbia WWTP, MO",MU,2024-01-30,8011278,7919104,1253032155,745923,2932493,4074845,165843,398,68,0.3867467837216484,,564551,2931874,2179,17340,529997,2894181,1775,7879,30600,12474,180973,551,0,0,1,0,11706,131104,0,109122,1562,1307,0.093109114425938,0.3660455922263589,0.5086385717734424,0.0207011914952895,4.9679963671214506e-05,8.48803399407685e-06,0.0704695305792658,0.3659683261522069,0.0002719915598984,0.0021644486684895,0.0661563610699815,0.3612633340148725,0.0002215626520512,0.0009834885270489,0.0038196152973345,0.0015570549417958,0.0225897790589716,6.877804015788742e-05,0.0,0.0,1.2482402932465958e-07,0.0,0.0014611900872744,0.0163649295405801,0.0,0.0136210477279655,0.0001949751338051,0.0001631450063273
SAMN52958981,"Columbia WWTP, MO",MU,2024-02-06,8010154,7903285,1258957256,765667,1664263,5359089,114266,834,105,0.2220343079546285,,628743,1663649,3767,8787,577222,1639886,2140,2594,45614,12382,136090,509,0,0,0,0,8793,83204,0,66183,881,913,0.0955870511353464,0.2077691639886074,0.6690369498514012,0.0142651439660211,0.0001041178484208,1.3108362211263354e-05,0.0784932474456795,0.2076925112800577,0.0004702780995221,0.0010969826547654,0.0720612862124748,0.2047259016493315,0.00026716090602,0.0003238389673906,0.0056945222276625,0.0015457880085701,0.0169896858412459,6.354434633840998e-05,0.0,0.0,0.0,0.0,0.0010977317040346,0.0103873158992948,0.0,0.0082623879640765,0.0001099854010297,0.0001139803304655
SAMN52958982,"Columbia WWTP, MO",MU,2024-02-13,8008966,7884398,1542733982,761467,1621515,5402746,98670,1185,261,0.2147824076166636,,620830,1620116,4025,12414,559169,1584926,2066,2104,55570,20672,139436,1138,0,0,16,0,6573,87986,0,74898,565,1211,0.0950768176566113,0.2024624651921359,0.6745872063884402,0.0123199424245277,0.0001479591747548,3.2588476465001846e-05,0.0775168729646249,0.2022877859638809,0.0005025617539143,0.0015500128231284,0.0698178766147839,0.1978939603439445,0.0002579608903321,0.0002627055727293,0.0069384737055944,0.0025811072240786,0.0174099877562222,0.0001420907517899,0.0,0.0,1.997761009348772e-06,0.0,0.000820705194653,0.010985937510535,0.0,0.0093517690048877,7.054593564262853e-05,0.000151205536395
SAMN52958983,"Columbia WWTP, MO",MU,2024-02-20,8009247,7862196,1434992035,732611,1417952,5577565,134068,925,214,0.1937785162575208,,550054,1416542,5335,12767,482917,1383661,2517,1986,59285,18128,181631,1196,0,0,1,0,13418,116595,0,81356,378,1355,0.0914706463666309,0.1770393646244147,0.6963906844176487,0.016739151633106,0.0001154915062552,2.6719116041745246e-05,0.0686773675477857,0.1768633181121771,0.000666105065807,0.0015940324976867,0.0602949315959415,0.1727579384179311,0.0003142617526966,0.0002479633853219,0.0074020691333405,0.0022633838112371,0.0226776624569076,0.0001493273961959,0.0,0.0,1.248556824380619e-07,0.0,0.0016753135469539,0.0145575482938658,0.0,0.0101577589004309,4.71954479615874e-05,0.0001691794497035
SAMN52958984,"Columbia WWTP, MO",MU,2024-02-27,7991383,7897760,1219639909,960809,4560286,2282103,94562,437,125,0.5824834074402391,,758644,4559578,1462,15671,747332,4512351,2315,17275,7535,14281,201728,583,0,0,0,0,4627,39591,0,30198,192,530,0.1202306284156321,0.5706504118248368,0.2855704700925985,0.0118329956154022,5.468390139729256e-05,1.5641848225770182e-05,0.0949327544431295,0.5705618163964861,0.0001829470568486,0.0019609872283683,0.0935172297460902,0.5646520758672184,0.0002896870291412,0.0021617034248014,0.0009428906110494,0.0017870498760977,0.0252431900711053,7.295358012499213e-05,0.0,0.0,0.0,0.0,0.0005789986539251,0.0049542113048517,0.0,0.0037788202617744,2.4025878874783e-05,6.632143647726558e-05
SAMN52958985,"Columbia WWTP, MO",MU,2024-03-05,7988843,7911493,1342877563,926432,4644945,2257643,82473,442,285,0.5917525228621967,,770586,4643530,1887,18528,757588,4587122,2126,8117,8985,29763,155404,1130,0,0,0,0,3237,37139,0,30328,216,751,0.1159657287043943,0.5814290004197104,0.2825994953211623,0.0103235224424863,5.532716064140952e-05,3.567475290226632e-05,0.0964577724208624,0.5812518784009149,0.0002362044165844,0.002319234462362,0.0948307533393759,0.574191031166841,0.0002661211391937,0.0010160419975708,0.0011246935257082,0.0037255707741408,0.0194526291228905,0.0001414472658931,0.0,0.0,0.0,0.0,0.0004051900882267,0.0046488584141658,0.0,0.0037962944070874,2.7037707462770267e-05,9.400610326176144e-05
SAMN52958986,"Columbia WWTP, MO",MU,2024-03-12,7988854,7892729,1355105392,588294,5583608,1657298,63529,411,196,0.7068769813542718,,465030,5582462,2828,16414,450735,5538904,2219,4410,9248,22734,122853,950,0,0,0,0,2802,36441,0,30611,224,582,0.0736393480216311,0.6989247769454793,0.207451281497947,0.0079522044087925,5.1446678084240865e-05,2.4534182249419003e-05,0.0582098508747312,0.6987813270839597,0.0003539932010273,0.0020546125889896,0.0564204828377136,0.693328980602224,0.0002777619918952,0.0005520191006119,0.001157612844095,0.0028457147921341,0.0153780504688156,0.0001189156792701,0.0,0.0,0.0,0.0,0.0003507386666473,0.0045614802824034,0.0,0.0038317135348824,2.8039065427907433e-05,7.285150035286663e-05
SAMN52958987,"Columbia WWTP, MO",MU,2024-03-19,7988322,7926639,1388744532,294467,6438629,1161326,32217,272,139,0.8100382032672193,,222001,6437868,1027,11480,214758,6392439,1306,10317,4910,23632,72194,622,0,0,0,0,1568,20691,0,17858,91,185,0.0368621845739318,0.8060051910776757,0.1453779654851169,0.0040330121895436,3.404970405549501e-05,1.7400400234241934e-05,0.0277906924633233,0.8059099270159615,0.0001285626693565,0.0014370978035186,0.0268839939101102,0.8002230005250164,0.0001634886525605,0.0012915102821343,0.0006146472312958,0.0029583184052921,0.0090374424065529,7.78636614798452e-05,0.0,0.0,0.0,0.0,0.000196286529261,0.002590155980192,0.0,0.0022355132905258,1.1391628930331053e-05,2.3158806067156532e-05
SAMN52958988,"Columbia WWTP, MO",MU,2024-03-26,4008488,3976360,1409519087,411321,2015422,1431995,117622,142,119,0.5321318162858415,0.00801499218658,340358,2014780,743,12480,335036,1979907,1320,13343,3259,9050,70821,523,0,0,0,0,1902,18598,0,14748,72,529,0.1026125062617126,0.5027885826276641,0.3572406852658658,0.0293432336581773,3.542482851389352e-05,2.9687004177136117e-05,0.0849093224178293,0.5026284224874815,0.0001853566731395,0.0031133933792492,0.0835816397604283,0.4939286334398406,0.0003293012228052,0.0033286865271893,0.0008130247614561,0.0022577091412023,0.0176677590153693,0.0001304731360053,0.0,0.0,0.0,0.0,0.0004744931255875,0.0046396546528267,0.0,0.0036791927529781,1.7961884880284037e-05,0.0001319699597454
SAMN52958989,"Columbia WWTP, MO",MU,2024-04-02,4008497,3974355,1347722082,392356,2345812,1098777,137410,118,71,0.6194895493248467,0.008517406898396,337451,2345469,808,11718,332367,2316702,1886,11365,2390,5684,54787,272,0,0,0,0,1237,18660,0,15730,82,840,0.0978810761240435,0.5852098679380326,0.2741119676527137,0.034279681386814,2.943746745974863e-05,1.771237448849282e-05,0.0841839223030477,0.5851242997063488,0.0002015718110803,0.0029232902007909,0.0829156165016463,0.5779477943977506,0.0004705005392295,0.0028352272684749,0.0005962334510915,0.0014179878393322,0.013667716353536,6.785585719535278e-05,0.0,0.0,0.0,0.0,0.0003085944682009,0.0046551113796517,0.0,0.0039241640944224,2.0456545183893116e-05,0.0002095548531032
SAMN52958990,"Columbia WWTP, MO",MU,2024-04-09,4008517,3968154,1423290914,269473,2998003,639198,61480,153,77,0.7632456092864269,0.0100693099218489,230347,2997094,631,9180,226561,2980355,904,2542,2251,5017,38973,832,0,0,0,0,1098,18461,0,16043,159,400,0.0672251109325468,0.7479082663239298,0.1594599698591773,0.0153373429624971,3.816872923328004e-05,1.9209099025899102e-05,0.0574643939392049,0.7476814991678967,0.0001574148244849,0.0022901237539968,0.0565199049922951,0.7435056406147211,0.0002255198119404,0.0006341497366731,0.0005615543104844,0.0012515850625056,0.0097225482641086,0.0002075580570071,0.0,0.0,0.0,0.0,0.0002739167627329,0.0046054438586639,0.0,0.004002228255487,3.966554214438906e-05,9.978752740726808e-05
SAMN52958991,"Columbia WWTP, MO",MU,2024-04-16,4007256,3965796,1253715123,293043,3074628,575497,22628,156,99,0.7729119377449307,0.0103462319352694,249979,3074149,1002,4938,244174,3054624,1207,10563,3596,4024,42908,380,0,0,0,0,1593,20787,0,17375,186,408,0.0731280956345189,0.7672651809617355,0.1436137346852809,0.0056467567831952,3.8929382100869025e-05,2.4705184794782264e-05,0.0623815897961098,0.7671456477949,0.0002500464158017,0.0012322646718852,0.0609329675967794,0.7622732363492625,0.0003012036166394,0.0026359683534069,0.0008973721668892,0.0010041784203454,0.0107075764563082,9.48279820405784e-05,0.0,0.0,0.0,0.0,0.0003975288826069,0.0051873401649407,0.0,0.0043358847051448,4.641580173565153e-05,0.000101815307033
SAMN52958992,"Columbia WWTP, MO",MU,2024-04-23,7997638,7878874,1306149209,664103,3050318,4034540,129913,234,316,0.3976462800641889,0.0148498844283774,522403,3049854,1607,15381,490719,3016280,1966,11691,28111,6502,141466,146,0,0,0,2,7228,95256,0,80246,805,2530,0.0830373917899259,0.3814023590465085,0.5044664437175076,0.0162439210176804,2.9258638613050503e-05,3.951166581933316e-05,0.0653196606298009,0.381344341916951,0.0002009343258597,0.0019231928226808,0.061357990946827,0.377146352460564,0.0002458225791164,0.0014618065983981,0.0035149127779977,0.0008129900353079,0.0176884725215119,1.8255389903869117e-05,0.0,0.0,0.0,2.5007383429957697e-07,0.0009037668371586,0.0119105165800202,0.0,0.0100337124536019,0.0001006547183055,0.0003163434003889
SAMN52958993,"Columbia WWTP, MO",MU,2024-04-30,8004764,7877914,1075420983,562448,4417957,2649210,248299,345,303,0.5829348622895066,0.0158468132227258,427753,4417461,9307,40585,386407,4329941,3362,23669,28677,23266,134348,190,0,0,2,3,5317,96933,0,77148,1655,3509,0.0702641576940931,0.5519159590463879,0.3309541667936743,0.0310189032431187,4.309933434639672e-05,3.7852458860748426e-05,0.0534373030860122,0.5518539959454145,0.0011626826224983,0.0050701057520246,0.0482721289472119,0.5409205068381778,0.0004199998900654,0.0029568641873764,0.0035824916262365,0.0029065191678355,0.0167835054225208,2.3735865292218484e-05,0.0,0.0,2.498512136022998e-07,3.747768204034498e-07,0.0006642294513617,0.0121094138440558,0.0,0.0096377607134951,0.0002067518792559,0.0004383639542652
