sra_accession,pmmov_ct
SAMN47830421,25.13
SAMN47830422,23.9
SAMN47830423,22.71
SAMN47830424,23.46
SAMN47830425,23.73
SAMN47830426,23.68
SAMN47830427,23.28
SAMN47830428,22.6
SAMN47830429,25.62
SAMN47830430,24.54
SAMN47830431,23.96
SAMN47830432,25.57
SAMN47830433,24.39
SAMN47830434,22.63
SAMN47830435,22.88
SAMN47830436,23.83
SAMN47830437,24.7
SAMN47830438,23.08
SAMN47830439,23.03
SAMN47830440,23.36
SAMN47830441,25.45
SAMN47830444,
SAMN47830445,26.07
SAMN47830446,24.13
SAMN47830447,21.91
SAMN47830448,24.55
SAMN47830449,25.07
SAMN47830450,23.5
SAMN47830451,25.16
SAMN47830452,24.94
SAMN47830453,24.86
SAMN47830454,
SAMN47830455,23.98
SAMN47830456,25.01
SAMN47830457,26.17
SAMN47830458,26.57
SAMN47830461,22.63
SAMN47830462,25.37
SAMN47830463,24.6
SAMN47830464,23.25
SAMN47830465,24.72
SAMN47830466,24.91
SAMN47830467,23.62
SAMN47830468,24.66
SAMN47830469,24.95
SAMN47830470,23.75
SAMN47830471,22.61
SAMN47830472,23.62
SAMN47830473,22.71
SAMN47830474,23.95
SAMN47830475,23.74
SAMN47830476,25.54
SAMN47830477,21.3
SAMN47830478,23.62
SAMN47830479,23.88
SAMN47830480,23.13
SAMN47830481,24.05
SAMN47830482,25.37
SAMN47830483,24.98
SAMN47830484,22.15
SAMN47830485,25.44
SAMN47830486,25.08
SAMN47830487,23.02
SAMN47830488,23.57
SAMN47830489,25.62
SAMN47830490,25.27
SAMN47830491,23.03
SAMN47830492,23.63
SAMN47830493,23.04
SAMN47830494,24.2
SAMN47830495,23.66
SAMN47830496,21.96
SAMN47830497,22.25
SAMN47830498,22.65
SAMN47830499,23.04
SAMN47830500,21.21
SAMN47830501,21.62
SAMN47830502,21.24
SAMN47830503,21.16
SAMN47830504,19.6
SAMN47830505,22.58
SAMN47830506,22.61
SAMN47830507,21.92
SAMN47830508,23.14
SAMN47830509,22.0
SAMN47830510,21.94
SAMN47830511,18.86
SAMN47830512,22.93
SAMN47830513,22.98
SAMN47830514,24.23
SAMN47830515,22.87
SAMN47830516,21.37
SAMN47830517,22.52
SAMN47830518,19.59
SAMN47830519,21.14
SAMN47830520,23.53
SAMN47830521,23.38
SAMN47830522,21.77
SAMN47830523,22.83
SAMN47830524,23.05
SAMN47830525,22.26
SAMN47830526,24.02
SAMN47830527,21.57
SAMN47830528,21.94
SAMN47830529,22.98
SAMN47830530,23.47
SAMN47830531,24.06
SAMN47830532,23.85
SAMN47830533,24.0
SAMN47830534,23.54
SAMN47830535,20.8
SAMN47830536,23.8
SAMN47830537,24.38
SAMN47830538,23.31
SAMN47830539,23.43
SAMN47830540,25.0
SAMN47830541,22.88
SAMN47830542,21.48
SAMN47830543,23.86
SAMN47830544,23.88
SAMN47830545,23.0
SAMN47830546,24.32
SAMN47830547,23.6
SAMN47830548,24.68
SAMN47830549,22.24
SAMN47830550,24.36
SAMN47830551,23.96
SAMN47830552,23.94
SAMN47830553,23.85
SAMN47830554,24.74
SAMN47830555,23.94
SAMN47830556,24.8
SAMN47830557,22.59
SAMN47830558,23.06
SAMN47830559,24.26
SAMN47830560,23.3
SAMN47830561,24.37
SAMN47830562,23.3
SAMN47830563,24.3
SAMN47830564,22.49
SAMN47830565,23.62
SAMN47830566,23.94
SAMN47830567,24.97
SAMN47830568,30.39
SAMN47830569,25.23
SAMN47830570,24.78
SAMN47830571,22.9
SAMN47830572,25.54
SAMN47830573,26.08
SAMN47830574,22.97
SAMN47830575,23.86
SAMN47830576,26.2
SAMN47830577,24.06
SAMN47830578,24.23
SAMN47830579,22.97
SAMN47830580,27.52
SAMN47830581,26.63
SAMN47830582,24.05
SAMN47830583,25.54
SAMN47830584,24.92
SAMN47830585,26.09
SAMN47830586,23.72
SAMN47830587,23.49
SAMN47830588,26.54
SAMN47830589,25.31
SAMN47830590,21.93
SAMN47830591,23.41
SAMN47830592,25.91
SAMN47830593,26.69
SAMN47830594,27.41
SAMN47830595,26.18
SAMN47830596,21.97
SAMN47830597,24.99
SAMN47830598,24.43
SAMN47830599,
SAMN47830601,
SAMN47830603,
SAMN47830604,
SAMN47830605,
SAMN47830606,
SAMN52958976,
SAMN52958977,
SAMN52958978,
SAMN52958979,
SAMN52958980,
SAMN52958981,
SAMN52958982,
SAMN52958983,
SAMN52958984,24.56
SAMN52958985,25.15
SAMN52958986,25.28
SAMN52958987,24.13
SAMN52958988,21.89
SAMN52958989,22.74
SAMN52958990,23.1
SAMN52958991,22.76
SAMN52958992,22.38
SAMN52958993,24.64
SAMN52958994,23.3
SAMN52958995,22.99
SAMN52958996,23.66
SAMN52958997,24.0
SAMN52958998,24.75
SAMN52958999,24.08
SAMN52959000,25.02
SAMN52959001,24.21
SAMN52959002,24.17
SAMN52959003,
SAMN52959004,24.37
SAMN52959005,23.73
SAMN52959006,23.99
SAMN52959007,23.9
SAMN52959008,23.3
SAMN52959009,23.15
SAMN52959010,23.2
SAMN52959011,23.33
SAMN52959012,23.83
SAMN52959013,24.07
SAMN52959014,24.63
SAMN52959015,23.29
SAMN52959016,23.78
SAMN52959017,23.08
SAMN52959018,22.84
SAMN52959019,23.93
SAMN52959020,24.84
SAMN52959021,23.04
SAMN52959022,23.16
SAMN52959023,23.18
SAMN52959024,23.46
SAMN52959025,23.74
SAMN52959026,22.38
SAMN52959027,22.36
SAMN52959028,22.8
SAMN53034969,23.18
SAMN53034970,23.55
SAMN53034971,23.82
SAMN53034972,23.45
SAMN53034973,25.0
SAMN53034974,23.87
SAMN53034975,24.37
SAMN53034976,24.57
SAMN53034977,25.12
SAMN53034978,25.03
SAMN53034979,25.3
SAMN53034980,26.6
SAMN53034981,23.0
SAMN53034982,24.5
SAMN53034983,23.7
SAMN53034984,25.5
SAMN53034985,22.9
SAMN53034986,23.8
SAMN53034987,21.6
SAMN53034988,24.5
SAMN53034989,24.9
SAMN53034990,24.1
SAMN53034991,26.7
SAMN53034992,24.9
SAMN53034993,25.3
SAMN53059441,23.3
SAMN53059442,23.9
SAMN53059443,21.7
SAMN53059444,21.3
SAMN53059445,25.9
SAMN53059446,21.3
SAMN53059447,21.3
SAMN53059448,21.8
SAMN53059449,22.1
SAMN53059450,21.9
SAMN53059451,20.5
SAMN53059452,20.3
SAMN53059453,19.8
SAMN53059454,19.7
SAMN53059455,22.6
SAMN53059456,22.2
SAMN53059457,19.9
SAMN53059458,19.0
SAMN53059459,22.2
SAMN53059460,22.3
SAMN53059461,22.9
SAMN53059462,22.9
SAMN53059463,22.0
SAMN53059464,21.1
SAMN53059465,22.9
SAMN53059466,23.3
SAMN53059467,23.5
SAMN53059468,22.3
SAMN53059469,21.9
SAMN53059470,22.0
SAMN53059471,23.4
SAMN53059472,22.9
SAMN53059473,22.9
SAMN53059474,23.8
SAMN53059475,24.0
SAMN53059476,24.9
SAMN53059477,23.1
SAMN53059478,22.5
SAMN53059479,22.8
SAMN53059480,22.8
SAMN53059481,22.6
SAMN53059482,22.8
SAMN53059483,22.1
SAMN53059484,21.5
SAMN53059485,22.5
SAMN53059486,23.1
SAMN53059487,22.4
SAMN53059488,23.5
SAMN53059489,21.7
SAMN53059490,21.6
SAMN53059491,19.7
SAMN53059492,19.7
SAMN53059493,21.1
SAMN53059494,21.6
SAMN53059495,21.5
SAMN53059496,20.8
SAMN53059497,22.1
SAMN53059498,22.6
SAMN53059499,20.9
SAMN53071625,26.4
