sra_accession,site_name,median_quality_score
SAMN54703710,"Boise RWF, ID",39
SAMN54703711,"Boise RWF, ID",39
SAMN54703712,"Boise RWF, ID",39
SAMN54703713,"Boise RWF, ID",39
SAMN54703714,"Boise RWF, ID",39
SAMN54703715,"Boise RWF, ID",39
SAMN54703716,"Boise RWF, ID",39
SAMN54703717,"Boise RWF, ID",39
SAMN54703718,"Boise RWF, ID",39
SAMN54703719,"Boise RWF, ID",39
SAMN54703720,"Boise RWF, ID",39
SAMN54703721,"Boise RWF, ID",39
SAMN54703722,"Boise RWF, ID",39
SAMN54703723,"Boise RWF, ID",39
SAMN54703724,"Boise RWF, ID",39
SAMN54703725,"Boise RWF, ID",39
SAMN54703726,"Boise RWF, ID",39
SAMN54703727,"Boise RWF, ID",39
SAMN54703728,"Boise RWF, ID",39
SAMN54703729,"Boise RWF, ID",39
SAMN54703730,"Boise RWF, ID",39
SAMN54703731,"Boise RWF, ID",39
SAMN54703732,"Boise RWF, ID",39
SAMN54703733,"Boise RWF, ID",39
SAMN54703734,"Boise RWF, ID",39
SAMN54703735,"Boise RWF, ID",39
SAMN54703736,"Boise RWF, ID",39
SAMN54703737,"Boise RWF, ID",39
SAMN54703738,"Boise RWF, ID",39
SAMN54703739,"Boise RWF, ID",39
SAMN54703740,"Boise RWF, ID",39
SAMN54703741,"Boise RWF, ID",39
SAMN54703742,"Boise RWF, ID",39
SAMN54703743,"Boise RWF, ID",39
SAMN54703744,"Boise RWF, ID",39
SAMN54703745,"Boise RWF, ID",39
SAMN54703746,"Boise RWF, ID",39
SAMN54703747,"Boise RWF, ID",39
SAMN54703748,"Boise RWF, ID",39
SAMN54703749,"Boise RWF, ID",39
SAMN54703750,"Boise RWF, ID",39
SAMN54703751,"Boise RWF, ID",39
SAMN54703752,"Boise RWF, ID",39
SAMN54703753,"Boise RWF, ID",39
SAMN54703754,"Boise RWF, ID",39
SAMN54703755,"Boise RWF, ID",39
SAMN54703756,"Boise RWF, ID",39
SAMN54703757,"Boise RWF, ID",39
SAMN54703758,"Boise RWF, ID",39
SAMN54703759,"Boise RWF, ID",39
SAMN54703760,"Boise RWF, ID",39
SAMN54703761,"Boise RWF, ID",39
SAMN54703762,"Boise RWF, ID",39
SAMN54703763,"Boise RWF, ID",39
SAMN55039079,"Boise RWF, ID",39
SAMN55039080,"Boise RWF, ID",39
SAMN55039081,"Boise RWF, ID",39
SAMN47830421,"Boston DITP North, MA",35
SAMN47830426,"Boston DITP North, MA",39
SAMN47830434,"Boston DITP North, MA",39
SAMN47830438,"Boston DITP North, MA",39
SAMN47830448,"Boston DITP North, MA",39
SAMN47830453,"Boston DITP North, MA",39
SAMN47830465,"Boston DITP North, MA",39
SAMN47830471,"Boston DITP North, MA",39
SAMN47830478,"Boston DITP North, MA",39
SAMN47830485,"Boston DITP North, MA",39
SAMN47830497,"Boston DITP North, MA",39
SAMN47830505,"Boston DITP North, MA",39
SAMN47830512,"Boston DITP North, MA",39
SAMN47830520,"Boston DITP North, MA",39
SAMN47830528,"Boston DITP North, MA",39
SAMN47830536,"Boston DITP North, MA",39
SAMN47830543,"Boston DITP North, MA",39
SAMN47830550,"Boston DITP North, MA",39
SAMN47830558,"Boston DITP North, MA",39
SAMN47830565,"Boston DITP North, MA",39
SAMN47830572,"Boston DITP North, MA",39
SAMN47830580,"Boston DITP North, MA",39
SAMN47830588,"Boston DITP North, MA",39
SAMN47830597,"Boston DITP North, MA",39
SAMN47830599,"Boston DITP North, MA",39
SAMN47830603,"Boston DITP North, MA",39
SAMN47830605,"Boston DITP North, MA",39
SAMN55014594,"Boston DITP North, MA",39
SAMN55014595,"Boston DITP North, MA",39
SAMN55014596,"Boston DITP North, MA",39
SAMN55014597,"Boston DITP North, MA",39
SAMN55014598,"Boston DITP North, MA",39
SAMN55014599,"Boston DITP North, MA",39
SAMN55014600,"Boston DITP North, MA",39
SAMN55014601,"Boston DITP North, MA",39
SAMN55014602,"Boston DITP North, MA",39
SAMN55014603,"Boston DITP North, MA",39
SAMN55014604,"Boston DITP North, MA",39
SAMN55014605,"Boston DITP North, MA",39
SAMN55014606,"Boston DITP North, MA",39
SAMN55014607,"Boston DITP North, MA",39
SAMN55014608,"Boston DITP North, MA",39
SAMN55951600,"Boston DITP North, MA",39
SAMN55951604,"Boston DITP North, MA",39
SAMN55951606,"Boston DITP North, MA",39
SAMN55951608,"Boston DITP North, MA",39
