sra_accession,site_name,sequencing_lab,date,sample_source,sample_age,na_type,concentration,extraction,platform
SAMN55037916,"Columbia WWTP, MO",MU,2023-12-26,raw_wastewater_composite,44,RNA+DNA,PEG,QiaAMP Viral RNA Mini Kit,illumina
SAMN52958976,"Columbia WWTP, MO",MU,2024-01-02,raw_wastewater_composite,37,RNA+DNA,PEG,QiaAMP Viral RNA Mini Kit,illumina
SAMN52958977,"Columbia WWTP, MO",MU,2024-01-09,raw_wastewater_composite,30,RNA+DNA,PEG,QiaAMP Viral RNA Mini Kit,illumina
SAMN52958978,"Columbia WWTP, MO",MU,2024-01-16,raw_wastewater_composite,48,RNA+DNA,PEG,Qiagen Viral RNA,illumina
SAMN52958979,"Columbia WWTP, MO",MU,2024-01-23,raw_wastewater_composite,41,RNA+DNA,PEG,Qiagen Viral RNA,illumina
SAMN52958980,"Columbia WWTP, MO",MU,2024-01-30,raw_wastewater_composite,34,RNA+DNA,PEG,Qiagen Viral RNA,illumina
SAMN52958981,"Columbia WWTP, MO",MU,2024-02-06,raw_wastewater_composite,27,RNA+DNA,PEG,Qiagen Viral RNA,illumina
SAMN52958982,"Columbia WWTP, MO",MU,2024-02-13,raw_wastewater_composite,20,RNA+DNA,PEG,Qiagen Viral RNA,illumina
SAMN52958983,"Columbia WWTP, MO",MU,2024-02-20,raw_wastewater_composite,13,RNA+DNA,PEG,Qiagen Viral RNA,illumina
SAMN52958984,"Columbia WWTP, MO",MU,2024-02-27,raw_wastewater_composite,37,RNA+DNA,PEG,QiaAMP Viral RNA Mini Kit,illumina
SAMN52958985,"Columbia WWTP, MO",MU,2024-03-05,raw_wastewater_composite,30,RNA+DNA,PEG,QiaAMP Viral RNA Mini Kit,illumina
SAMN52958986,"Columbia WWTP, MO",MU,2024-03-12,raw_wastewater_composite,23,RNA+DNA,PEG,QiaAMP Viral RNA Mini Kit,illumina
SAMN52958987,"Columbia WWTP, MO",MU,2024-03-19,raw_wastewater_composite,16,RNA+DNA,PEG,QiaAMP Viral RNA Mini Kit,illumina
SAMN52958988,"Columbia WWTP, MO",MU,2024-03-26,raw_wastewater_composite,52,RNA+DNA,PEG,QiaAMP Viral RNA Mini Kit,illumina
SAMN52958989,"Columbia WWTP, MO",MU,2024-04-02,raw_wastewater_composite,45,RNA+DNA,PEG,QiaAMP Viral RNA Mini Kit,illumina
SAMN52958990,"Columbia WWTP, MO",MU,2024-04-09,raw_wastewater_composite,38,RNA+DNA,PEG,QiaAMP Viral RNA Mini Kit,illumina
SAMN52958991,"Columbia WWTP, MO",MU,2024-04-16,raw_wastewater_composite,31,RNA+DNA,PEG,QiaAMP Viral RNA Mini Kit,illumina
SAMN52958992,"Columbia WWTP, MO",MU,2024-04-23,raw_wastewater_composite,70,RNA+DNA,PEG,QiaAMP Viral RNA Mini Kit,illumina
SAMN52958993,"Columbia WWTP, MO",MU,2024-04-30,raw_wastewater_composite,63,RNA+DNA,PEG,QiaAMP Viral RNA Mini Kit,illumina
SAMN52958994,"Columbia WWTP, MO",MU,2024-05-07,raw_wastewater_composite,56,RNA+DNA,PEG,QiaAMP Viral RNA Mini Kit,illumina
