year,month,category,runs,mbases,mbytes
2007,6,all_sra,234,20189,48040
2008,4,all_sra,821,60761,227771
2008,5,all_sra,46,3665,8424
2008,5,wastewater_metagenome,1,98,227
2008,5,wastewater_shotgun_metagenomic,1,98,227
2008,6,all_sra,152,30796,205239
2008,7,all_sra,612,229449,1182910
2008,8,all_sra,1253,527145,3027171
2008,9,all_sra,1136,404890,2795739
2008,10,all_sra,1346,791002,4747885
2008,11,all_sra,208,35626,203608
2008,12,all_sra,370,143685,423861
2009,1,all_sra,463,222567,281618
2009,2,all_sra,246,147332,758388
2009,2,wastewater_metagenome,4,9,23
2009,3,all_sra,444,484225,541376
2009,4,all_sra,4792,1272696,6154983
2009,5,all_sra,1179,540626,849889
2009,6,all_sra,1763,1205869,1413014
2009,7,all_sra,493,259343,263412
2009,8,all_sra,501,667225,653932
2009,9,all_sra,3710,1943991,1669628
2009,10,all_sra,1543,689898,714757
2009,10,wastewater_metagenome,8,26,73
2009,11,all_sra,1143,1033221,845953
2009,12,all_sra,1665,1715362,1407165
2010,1,all_sra,2285,2152371,2422494
2010,2,all_sra,4470,3614623,7483219
2010,3,all_sra,3690,2661848,5588396
2010,4,all_sra,1208,2263357,10146595
2010,5,all_sra,10681,2113862,7734843
2010,5,wastewater_metagenome,9,23,62
2010,6,all_sra,4810,1296621,1734608
2010,7,all_sra,2659,5543763,9132159
2010,8,all_sra,4295,11245839,7024512
2010,9,all_sra,4134,7027347,12326420
2010,10,all_sra,2605,6147547,7570967
2010,11,all_sra,3230,5498068,12045201
2010,12,all_sra,9566,8390818,6149365
2011,1,all_sra,4042,3649154,3580578
2011,2,all_sra,3957,14627115,12118519
2011,3,all_sra,16396,25526531,14233599
2011,4,all_sra,6550,8370908,5589665
2011,4,wastewater_metagenome,6,24,13
2011,5,all_sra,5068,7003307,4316480
2011,6,all_sra,4547,6687961,4387641
2011,7,all_sra,3342,12228497,6374498
2011,8,all_sra,3792,10514879,5500778
2011,9,all_sra,3159,6378310,3975957
2011,9,wastewater_metagenome,16,33,16
2011,10,all_sra,5947,12732261,8375041
2011,11,all_sra,11324,36445401,20137971
2011,12,all_sra,6767,15028490,9681641
2011,12,wastewater_metagenome,6,1574,985
2012,1,all_sra,6641,15083381,9424722
2012,2,all_sra,3763,16189289,9236348
2012,3,all_sra,5582,34996615,17765205
2012,4,all_sra,28070,99963221,50355656
2012,5,all_sra,9268,38700946,23120053
2012,6,all_sra,5502,93495049,58175974
2012,7,all_sra,6040,99282822,71790076
2012,8,all_sra,28046,97995964,66190904
2012,8,wastewater_metagenome,4,7,18
2012,9,all_sra,8609,63120003,36356991
2012,10,all_sra,27874,43090571,25306208
2012,11,all_sra,7278,77579607,51738659
2012,12,all_sra,16513,44485868,25045519
2013,1,all_sra,17332,38893621,21419112
2013,1,wastewater_metagenome,4,36,80
2013,2,all_sra,15764,73535778,41026051
2013,2,wastewater_metagenome,83,515,1425
2013,3,all_sra,26139,45374250,25037708
2013,3,wastewater_metagenome,4,158314,102381
2013,3,wastewater_shotgun_metagenomic,4,158314,102381
2013,4,all_sra,18801,168861516,105215560
2013,5,all_sra,21019,207403141,132179046
2013,6,all_sra,20106,48986272,29416215
2013,6,wastewater_metagenome,16,12,36
2013,7,all_sra,15167,37791257,20752725
2013,8,all_sra,16596,44186477,25386567
2013,8,wastewater_metagenome,13,36224,19478
2013,8,wastewater_shotgun_metagenomic,1,48,29
2013,9,all_sra,17807,52473539,29447898
2013,9,wastewater_metagenome,28,1318,821
2013,9,wastewater_shotgun_metagenomic,1,532,330
2013,10,all_sra,18605,81381291,53483474
2013,10,wastewater_metagenome,3,6,13
2013,10,wastewater_shotgun_metagenomic,3,6,13
2013,11,all_sra,11920,66346656,43878699
2013,12,all_sra,13942,37230974,24017891
2014,1,all_sra,21865,121285851,73922279
2014,1,wastewater_metagenome,12,83,45
2014,2,all_sra,25661,28491183,17640645
2014,2,wastewater_metagenome,21,533,443
