year,month,category,runs,mbases,mbytes
2000,1,wastewater_metagenome,11,2760,1225
2000,1,wastewater_shotgun_metagenomic,3,2685,1200
2001,2,wastewater_metagenome,2,5996,2824
2001,3,wastewater_metagenome,3,9937,4707
2001,4,wastewater_metagenome,1,2134,1024
2002,4,wastewater_metagenome,11,22798,6918
2002,9,wastewater_metagenome,1,15494,4713
2005,4,wastewater_metagenome,2,5,13
2005,6,wastewater_metagenome,1,15293,6199
2005,6,wastewater_shotgun_metagenomic,1,15293,6199
2006,2,wastewater_metagenome,61,7829,4602
2006,5,wastewater_metagenome,19,382,246
2006,6,wastewater_metagenome,3,14,39
2006,8,wastewater_metagenome,52,3818,2202
2006,10,wastewater_metagenome,17,3650,1722
2006,11,wastewater_metagenome,1,3813,1754
2007,2,wastewater_metagenome,53,3340,1906
2007,3,wastewater_metagenome,4,32229,19671
2007,4,wastewater_metagenome,3,10,30
2007,5,wastewater_metagenome,11,191,109
2007,6,wastewater_metagenome,1,9492,2726
2007,6,wastewater_shotgun_metagenomic,1,9492,2726
2007,7,wastewater_metagenome,1,5129,3378
2007,7,wastewater_shotgun_metagenomic,1,5129,3378
2007,8,wastewater_metagenome,54,6898,4002
2007,9,wastewater_metagenome,4,14932,7194
2007,9,wastewater_shotgun_metagenomic,1,14921,7161
2007,10,wastewater_metagenome,16,317,210
2007,11,wastewater_metagenome,2,8,22
2007,12,wastewater_metagenome,15,239199,149742
2007,12,wastewater_shotgun_metagenomic,13,239192,149723
2008,1,wastewater_metagenome,1,5126,3397
2008,1,wastewater_shotgun_metagenomic,1,5126,3397
2008,2,wastewater_metagenome,43,3990,2354
2008,3,wastewater_metagenome,2,8,23
2008,4,wastewater_metagenome,6,15251,7304
2008,4,wastewater_shotgun_metagenomic,1,15217,7210
2008,5,wastewater_metagenome,18,434,280
2008,6,wastewater_metagenome,10,56,156
2008,7,wastewater_metagenome,7,37471,27402
2008,7,wastewater_shotgun_metagenomic,1,37428,27283
2008,8,wastewater_metagenome,52,3975,2442
2008,10,wastewater_metagenome,16,493,302
2008,12,wastewater_metagenome,2,9,28
2009,1,wastewater_metagenome,1,5123,3392
2009,1,wastewater_shotgun_metagenomic,1,5123,3392
2009,2,wastewater_metagenome,56,20090,10370
2009,2,wastewater_shotgun_metagenomic,1,14307,6724
2009,3,wastewater_metagenome,2,7,22
2009,4,wastewater_metagenome,4,37,104
2009,5,wastewater_metagenome,17,975,570
2009,6,wastewater_metagenome,4,67,182
2009,7,wastewater_metagenome,1,5127,3394
2009,7,wastewater_shotgun_metagenomic,1,5127,3394
2009,8,wastewater_metagenome,52,7548,4872
2009,10,wastewater_metagenome,27,1206,837
2009,12,wastewater_metagenome,7,257,102
2010,1,wastewater_metagenome,31,5478,3775
2010,1,wastewater_shotgun_metagenomic,1,5116,3384
2010,2,wastewater_metagenome,74,22795,14391
2010,2,wastewater_shotgun_metagenomic,2,17980,11298
2010,3,wastewater_metagenome,9,4839,2938
2010,3,wastewater_shotgun_metagenomic,1,4787,2891
2010,4,wastewater_metagenome,8,15,32
2010,5,wastewater_metagenome,48,18816,10645
2010,5,wastewater_shotgun_metagenomic,1,17961,10094
2010,6,wastewater_metagenome,27,21324,13380
2010,6,wastewater_shotgun_metagenomic,2,21042,13123
2010,7,wastewater_metagenome,31,19232,10225
2010,7,wastewater_shotgun_metagenomic,2,18790,9949
2010,8,wastewater_metagenome,78,4123,2646
2010,9,wastewater_metagenome,20,20973,12924
2010,9,wastewater_shotgun_metagenomic,2,20536,12733
2010,10,wastewater_metagenome,57,33144,19276
2010,10,wastewater_shotgun_metagenomic,8,31432,18315
2010,11,wastewater_metagenome,53,174,275
2010,12,wastewater_metagenome,30,159183,95165
2010,12,wastewater_shotgun_metagenomic,6,122947,75670
2011,1,wastewater_metagenome,33,32048,18553
2011,1,wastewater_shotgun_metagenomic,8,27973,15283
2011,2,wastewater_metagenome,42,4564,2826
2011,3,wastewater_metagenome,8,28087,18641
2011,3,wastewater_shotgun_metagenomic,4,28003,18451
2011,4,wastewater_metagenome,42,55687,36610
2011,4,wastewater_shotgun_metagenomic,8,50479,33298
2011,5,wastewater_metagenome,39,98300,64255
2011,5,wastewater_shotgun_metagenomic,11,97510,63686
2011,6,wastewater_metagenome,18,49684,32845
2011,6,wastewater_shotgun_metagenomic,8,49470,32693
2011,7,wastewater_metagenome,17,60803,39534
2011,7,wastewater_shotgun_metagenomic,6,60588,39383
2011,8,wastewater_metagenome,57,55936,36551
2011,8,wastewater_shotgun_metagenomic,8,50278,32979
2011,9,wastewater_metagenome,34,58837,38548
2011,9,wastewater_shotgun_metagenomic,12,58133,38091
2011,10,wastewater_metagenome,57,93747,58250
2011,10,wastewater_shotgun_metagenomic,15,92018,57101
2011,11,wastewater_metagenome,43,182619,119092
2011,11,wastewater_shotgun_metagenomic,13,182039,118586
2011,12,wastewater_metagenome,50,30311,19887
2011,12,wastewater_shotgun_metagenomic,7,28525,18772
2012,1,wastewater_metagenome,163,103223,62245
2012,1,wastewater_shotgun_metagenomic,77,102067,61709
2012,2,wastewater_metagenome,62,85541,56458
2012,2,wastewater_shotgun_metagenomic,11,79376,52705
2012,3,wastewater_metagenome,74,143365,100779
2012,3,wastewater_shotgun_metagenomic,23,120337,78449
2012,4,wastewater_metagenome,99,57722,37779
2012,4,wastewater_shotgun_metagenomic,26,55922,36775
2012,5,wastewater_metagenome,93,94798,59538
2012,5,wastewater_shotgun_metagenomic,51,92720,58342
2012,6,wastewater_metagenome,35,28415,17471
2012,6,wastewater_shotgun_metagenomic,12,27553,16969
2012,7,wastewater_metagenome,57,35046,23139
2012,7,wastewater_shotgun_metagenomic,13,15920,9390
2012,8,wastewater_metagenome,268,110414,54700
2012,8,wastewater_shotgun_metagenomic,47,92991,44571
2012,9,wastewater_metagenome,111,3510,2047
2012,10,wastewater_metagenome,186,45367,27554
2012,10,wastewater_shotgun_metagenomic,7,31157,19100
2012,11,wastewater_metagenome,53,11510,6167
2012,11,wastewater_shotgun_metagenomic,10,9638,5059
2012,12,wastewater_metagenome,55,106965,65899
2012,12,wastewater_shotgun_metagenomic,11,105526,64978
2013,1,wastewater_metagenome,747,264116,142202
2013,1,wastewater_shotgun_metagenomic,274,250726,135618
2013,2,wastewater_metagenome,131,9935,5486
2013,2,wastewater_shotgun_metagenomic,12,2055,919
2013,3,wastewater_metagenome,122,3521,2046
2013,3,wastewater_shotgun_metagenomic,1,532,330
2013,4,wastewater_metagenome,142,65472,31325
2013,4,wastewater_shotgun_metagenomic,11,59055,27344
2013,5,wastewater_metagenome,251,130595,58085
2013,5,wastewater_shotgun_metagenomic,31,108555,45039
2013,6,wastewater_metagenome,193,7996,4222
2013,7,wastewater_metagenome,125,4916,2752
2013,8,wastewater_metagenome,333,37694,22198
2013,8,wastewater_shotgun_metagenomic,19,22396,13271
2013,9,wastewater_metagenome,256,36958,20099
2013,9,wastewater_shotgun_metagenomic,2,17789,8664
2013,10,wastewater_metagenome,220,191139,95465
2013,10,wastewater_shotgun_metagenomic,25,180451,88910
2013,11,wastewater_metagenome,146,24378,12824
2013,11,wastewater_shotgun_metagenomic,11,13530,7200
2013,12,wastewater_metagenome,116,8901,4789
2013,12,wastewater_shotgun_metagenomic,2,4345,2309
2014,1,wastewater_metagenome,297,59724,31980
2014,1,wastewater_shotgun_metagenomic,111,55191,29364
2014,2,wastewater_metagenome,431,22844,13378
2014,2,wastewater_shotgun_metagenomic,2,4256,2265
2014,3,wastewater_metagenome,63,9247,5295
2014,3,wastewater_shotgun_metagenomic,2,5640,2960
2014,4,wastewater_metagenome,90,88185,49322
2014,4,wastewater_shotgun_metagenomic,10,63874,33834
2014,5,wastewater_metagenome,81,37005,16250
2014,5,wastewater_shotgun_metagenomic,4,33980,14349
2014,6,wastewater_metagenome,181,156353,70758
2014,6,wastewater_shotgun_metagenomic,11,73860,32872
2014,7,wastewater_metagenome,179,180554,88175
2014,7,wastewater_shotgun_metagenomic,15,126278,63238
2014,8,wastewater_metagenome,367,182022,93046
2014,8,wastewater_shotgun_metagenomic,14,123813,65054
2014,9,wastewater_metagenome,344,171043,85260
2014,9,wastewater_shotgun_metagenomic,8,108234,56508
2014,10,wastewater_metagenome,204,251055,119011
2014,10,wastewater_shotgun_metagenomic,21,192397,92739
2014,11,wastewater_metagenome,282,98334,55257
2014,11,wastewater_shotgun_metagenomic,7,75433,41971
2014,12,wastewater_metagenome,233,97670,52132
2014,12,wastewater_shotgun_metagenomic,7,59371,30324
2015,1,wastewater_metagenome,370,73355,41811
2015,1,wastewater_shotgun_metagenomic,16,49902,30086
2015,2,wastewater_metagenome,285,36336,20908
2015,2,wastewater_shotgun_metagenomic,39,18565,10901
2015,3,wastewater_metagenome,262,57915,33142
2015,3,wastewater_shotgun_metagenomic,15,16490,8677
2015,4,wastewater_metagenome,202,53682,27586
2015,4,wastewater_shotgun_metagenomic,13,16752,9612
2015,5,wastewater_metagenome,240,69058,36366
2015,5,wastewater_shotgun_metagenomic,18,41139,21203
2015,6,wastewater_metagenome,120,4902,2613
2015,6,wastewater_shotgun_metagenomic,21,315,130
2015,7,wastewater_metagenome,300,141243,57882
2015,7,wastewater_shotgun_metagenomic,42,121348,47482
2015,8,wastewater_metagenome,307,39396,19484
2015,8,wastewater_shotgun_metagenomic,5,21668,9292
2015,9,wastewater_metagenome,201,10994,5981
2015,9,wastewater_shotgun_metagenomic,3,116,65
2015,10,wastewater_metagenome,226,160922,65599
2015,10,wastewater_shotgun_metagenomic,31,144561,55757
2015,11,wastewater_metagenome,591,128002,72069
2015,11,wastewater_shotgun_metagenomic,27,112013,63455
2015,12,wastewater_metagenome,293,23142,62993
2015,12,wastewater_shotgun_metagenomic,30,7055,55852
2016,1,wastewater_metagenome,642,1671278,682008
2016,1,wastewater_shotgun_metagenomic,283,1659053,674786
2016,2,wastewater_metagenome,774,1774627,763185
2016,2,wastewater_shotgun_metagenomic,355,1718012,740062
2016,3,wastewater_metagenome,764,629439,248290
2016,3,wastewater_shotgun_metagenomic,106,513329,203146
2016,4,wastewater_metagenome,471,394528,146223
2016,4,wastewater_shotgun_metagenomic,59,316936,111175
2016,5,wastewater_metagenome,381,349694,125780
2016,5,wastewater_shotgun_metagenomic,62,185996,61914
2016,6,wastewater_metagenome,414,491856,200032
2016,6,wastewater_shotgun_metagenomic,86,377276,158558
2016,7,wastewater_metagenome,565,349163,113131
2016,7,wastewater_shotgun_metagenomic,54,242570,82717
2016,8,wastewater_metagenome,515,536376,240536
2016,8,wastewater_shotgun_metagenomic,150,499169,223300
2016,9,wastewater_metagenome,341,121213,82352
2016,9,wastewater_shotgun_metagenomic,30,26690,48511
2016,10,wastewater_metagenome,624,1177585,613472
2016,10,wastewater_shotgun_metagenomic,262,1124279,589554
2016,11,wastewater_metagenome,551,414349,227735
2016,11,wastewater_shotgun_metagenomic,60,328151,199097
2016,12,wastewater_metagenome,470,632519,257237
2016,12,wastewater_shotgun_metagenomic,52,183890,97655
2017,1,wastewater_metagenome,387,561321,263102
2017,1,wastewater_shotgun_metagenomic,43,315185,175137
2017,2,wastewater_metagenome,396,346005,152170
