sra_accession,site_name,sequencing_lab,date,total_read_pairs,total_virus_hits,ra,below_species_counts,species_counts,genus_counts,family_counts,order_counts,class_counts,phylum_counts,kingdom_counts,domain_counts,realm_counts,unresolved_counts
SAMN55037916,"Columbia WWTP, MO",MU,2023-12-26,921045273,173610,0.0001884923630675,153362,18570,1296,266,0,0,3,0,0,0,113
SAMN52958976,"Columbia WWTP, MO",MU,2024-01-02,2631730289,605038,0.0002299012184223,551970,46734,4596,1201,0,0,0,1,0,0,536
SAMN52958977,"Columbia WWTP, MO",MU,2024-01-09,2484427743,1012437,0.0004075131598625,937068,66748,6850,1032,0,0,0,6,0,0,733
SAMN52958978,"Columbia WWTP, MO",MU,2024-01-16,1351694366,1168661,0.0008645896804751,1048234,110474,4141,3338,0,3,0,0,0,0,2471
SAMN52958979,"Columbia WWTP, MO",MU,2024-01-23,1341763590,5448028,0.004060348663955,5389134,48251,8872,1240,0,0,0,0,0,0,531
SAMN52958980,"Columbia WWTP, MO",MU,2024-01-30,1253032155,1554892,0.0012409035105727,1465130,83391,3840,561,0,0,0,0,0,0,1970
SAMN52958981,"Columbia WWTP, MO",MU,2024-02-06,1258957256,1520908,0.0012080696089971,1480077,31274,8611,533,0,0,0,0,0,0,413
SAMN52958982,"Columbia WWTP, MO",MU,2024-02-13,1542733982,4669701,0.0030268996823069,4632299,30675,5736,466,0,0,3,0,0,0,522
SAMN52958983,"Columbia WWTP, MO",MU,2024-02-20,1434992035,15518895,0.0108146210024085,15389945,61807,65339,775,0,0,3,2,0,0,1024
SAMN52958984,"Columbia WWTP, MO",MU,2024-02-27,1219639909,810938,0.0006648995281442,755046,50884,4665,101,0,0,0,0,0,0,242
SAMN52958985,"Columbia WWTP, MO",MU,2024-03-05,1342877563,986515,0.0007346276586795,946166,31521,8433,217,3,1,0,0,0,0,174
SAMN52958986,"Columbia WWTP, MO",MU,2024-03-12,1355105392,733328,0.0005411593845978,701527,22015,8979,621,1,0,0,0,0,0,185
SAMN52958987,"Columbia WWTP, MO",MU,2024-03-19,1388744532,350940,0.0002527030651883,335814,9534,5335,164,0,0,0,0,0,0,93
SAMN52958988,"Columbia WWTP, MO",MU,2024-03-26,1409519087,416194,0.000295273759567,388012,18306,9373,294,0,0,0,0,0,0,209
SAMN52958989,"Columbia WWTP, MO",MU,2024-04-02,1347722082,430855,0.0003196912818706,378420,42024,9802,452,1,0,0,0,0,0,156
SAMN52958990,"Columbia WWTP, MO",MU,2024-04-09,1423290914,370531,0.0002603339881926,335955,24616,9309,500,0,1,0,0,0,0,150
SAMN52958991,"Columbia WWTP, MO",MU,2024-04-16,1253715123,233813,0.0001864961151944,211412,16170,5876,219,0,0,0,0,0,0,136
SAMN52958992,"Columbia WWTP, MO",MU,2024-04-23,1306149209,760675,0.0005823798649944,714516,26182,19295,255,0,0,0,0,0,0,427
SAMN52958993,"Columbia WWTP, MO",MU,2024-04-30,1075420983,325896,0.0003030403954838,304715,16487,4162,166,0,0,0,0,0,0,366
SAMN52958994,"Columbia WWTP, MO",MU,2024-05-07,1173578461,454730,0.0003874730281028,343464,39792,71148,113,0,0,0,0,0,0,213
SAMN52958995,"Columbia WWTP, MO",MU,2024-05-14,1090240043,248443,0.0002278791735775,198675,20279,29118,254,0,0,0,0,0,0,117
SAMN52958996,"Columbia WWTP, MO",MU,2024-05-21,1280719174,233344,0.0001821976314067,164225,16943,51778,182,0,0,0,0,0,0,216
SAMN52958997,"Columbia WWTP, MO",MU,2024-05-28,1076527455,408722,0.0003796670471353,270019,49731,87787,108,0,0,0,0,0,0,1077
SAMN52958998,"Columbia WWTP, MO",MU,2024-06-04,1272223304,237524,0.0001866999285842,181637,28884,25573,136,0,0,0,0,0,0,1294
SAMN52958999,"Columbia WWTP, MO",MU,2024-06-11,2382228945,363233,0.0001524761088821,258158,75053,26358,550,0,0,0,0,0,0,3114
SAMN52959000,"Columbia WWTP, MO",MU,2024-06-18,1034913183,45473,4.39389513506661e-05,35295,9130,787,59,0,0,0,0,0,0,202
SAMN52959001,"Columbia WWTP, MO",MU,2024-06-25,2167366827,202303,9.334045233128412e-05,150392,47056,3131,324,0,0,0,0,0,0,1400
SAMN52959002,"Columbia WWTP, MO",MU,2024-07-02,2221311168,343624,0.0001546942206703,246678,89138,4630,536,0,1,0,0,0,0,2641
SAMN52959003,"Columbia WWTP, MO",MU,2024-07-09,282447250,45710,0.000161835528581,26228,18660,309,84,0,0,0,0,0,0,429
SAMN52959004,"Columbia WWTP, MO",MU,2024-07-16,1171553657,85766,7.320706097202682e-05,69047,15103,1041,360,0,0,0,0,0,0,215
SAMN52959005,"Columbia WWTP, MO",MU,2024-07-23,1897371822,101556,5.3524564253806024e-05,82335,16692,1981,355,0,0,0,0,0,0,193
SAMN52959006,"Columbia WWTP, MO",MU,2024-07-30,1257598979,139898,0.0001112421386595,99202,37257,2657,446,0,0,0,0,0,0,336
SAMN52959007,"Columbia WWTP, MO",MU,2024-08-06,1085060362,64508,5.945107042809845e-05,21193,42408,744,62,0,0,0,0,0,0,101
SAMN52959008,"Columbia WWTP, MO",MU,2024-08-13,731168267,39865,5.452233336598017e-05,31063,8122,555,26,0,0,0,0,0,0,99
SAMN52959009,"Columbia WWTP, MO",MU,2024-08-20,606073150,37729,6.225156154830486e-05,30124,7135,335,38,0,0,0,0,0,0,97
SAMN52959010,"Columbia WWTP, MO",MU,2024-08-27,622866975,45168,7.251628648316119e-05,44303,813,36,6,0,0,0,0,0,0,10
SAMN52959011,"Columbia WWTP, MO",MU,2024-09-03,666122090,28013,4.205385232007544e-05,19691,7890,316,35,0,0,0,0,0,0,81
SAMN52959012,"Columbia WWTP, MO",MU,2024-09-10,641624109,60661,9.454289380513288e-05,43696,15452,1280,46,0,0,0,0,0,0,187
SAMN52959013,"Columbia WWTP, MO",MU,2024-09-17,774029471,22019,2.8447237249962545e-05,11663,9757,459,78,0,0,0,0,0,0,62
SAMN52959014,"Columbia WWTP, MO",MU,2024-09-24,840182725,41855,4.9816544371344936e-05,23570,16878,1237,73,0,0,0,0,0,0,97
