sra_accession,site_name,sequencing_lab,date,n_reads_virus_10239_total,n_reads_virus_annotated,n_reads_virus_not_annotated,n_reads_virus_vertebrate_7742_status_0,n_reads_virus_vertebrate_7742_status_1,n_reads_virus_vertebrate_7742_status_2,n_reads_virus_vertebrate_7742_status_3,n_reads_virus_invertebrate_33208m7742_status_0,n_reads_virus_invertebrate_33208m7742_status_1,n_reads_virus_invertebrate_33208m7742_status_2,n_reads_virus_invertebrate_33208m7742_status_3,n_reads_virus_plant_33090_status_0,n_reads_virus_plant_33090_status_1,n_reads_virus_plant_33090_status_2,n_reads_virus_plant_33090_status_3,n_reads_virus_fungi_4751_status_0,n_reads_virus_fungi_4751_status_1,n_reads_virus_fungi_4751_status_2,n_reads_virus_fungi_4751_status_3,n_reads_virus_bacteria_2_status_0,n_reads_virus_bacteria_2_status_1,n_reads_virus_bacteria_2_status_2,n_reads_virus_bacteria_2_status_3,n_reads_virus_archaea_2157_status_0,n_reads_virus_archaea_2157_status_1,n_reads_virus_archaea_2157_status_2,n_reads_virus_archaea_2157_status_3,n_reads_virus_other_eukaryote_2759mMFP_status_0,n_reads_virus_other_eukaryote_2759mMFP_status_1,n_reads_virus_other_eukaryote_2759mMFP_status_2,n_reads_virus_other_eukaryote_2759mMFP_status_3,n_reads_virus_virus_10239_status_0,n_reads_virus_virus_10239_status_1,n_reads_virus_virus_10239_status_2,n_reads_virus_virus_10239_status_3,n_reads_virus_metagenome_408169_status_0,n_reads_virus_metagenome_408169_status_1,n_reads_virus_metagenome_408169_status_2,n_reads_virus_metagenome_408169_status_3,n_reads_virus_unclassified_2787823m408169_status_0,n_reads_virus_unclassified_2787823m408169_status_1,n_reads_virus_unclassified_2787823m408169_status_2,n_reads_virus_unclassified_2787823m408169_status_3,n_reads_virus_other_entries_2787854_status_0,n_reads_virus_other_entries_2787854_status_1,n_reads_virus_other_entries_2787854_status_2,n_reads_virus_other_entries_2787854_status_3,n_reads_virus_host_root_1_status_0,n_reads_virus_host_root_1_status_1,n_reads_virus_host_root_1_status_2,n_reads_virus_host_root_1_status_3,n_reads_virus_unknown,n_reads_virus_vertebrate_7742_exclusive,n_reads_virus_invertebrate_33208m7742_exclusive,n_reads_virus_plant_33090_exclusive,n_reads_virus_fungi_4751_exclusive,n_reads_virus_bacteria_2_exclusive,n_reads_virus_archaea_2157_exclusive,n_reads_virus_other_eukaryote_2759mMFP_exclusive,n_reads_virus_virus_10239_exclusive,n_reads_virus_metagenome_408169_exclusive,n_reads_virus_unclassified_2787823m408169_exclusive,n_reads_virus_other_entries_2787854_exclusive,n_reads_virus_host_root_1_exclusive,n_reads_virus_unknown_exclusive,fraction_virus_annotated,fraction_virus_not_annotated,fraction_virus_vertebrate_7742_status_0,fraction_virus_vertebrate_7742_status_1,fraction_virus_vertebrate_7742_status_2,fraction_virus_vertebrate_7742_status_3,fraction_virus_invertebrate_33208m7742_status_0,fraction_virus_invertebrate_33208m7742_status_1,fraction_virus_invertebrate_33208m7742_status_2,fraction_virus_invertebrate_33208m7742_status_3,fraction_virus_plant_33090_status_0,fraction_virus_plant_33090_status_1,fraction_virus_plant_33090_status_2,fraction_virus_plant_33090_status_3,fraction_virus_fungi_4751_status_0,fraction_virus_fungi_4751_status_1,fraction_virus_fungi_4751_status_2,fraction_virus_fungi_4751_status_3,fraction_virus_bacteria_2_status_0,fraction_virus_bacteria_2_status_1,fraction_virus_bacteria_2_status_2,fraction_virus_bacteria_2_status_3,fraction_virus_archaea_2157_status_0,fraction_virus_archaea_2157_status_1,fraction_virus_archaea_2157_status_2,fraction_virus_archaea_2157_status_3,fraction_virus_other_eukaryote_2759mMFP_status_0,fraction_virus_other_eukaryote_2759mMFP_status_1,fraction_virus_other_eukaryote_2759mMFP_status_2,fraction_virus_other_eukaryote_2759mMFP_status_3,fraction_virus_virus_10239_status_0,fraction_virus_virus_10239_status_1,fraction_virus_virus_10239_status_2,fraction_virus_virus_10239_status_3,fraction_virus_metagenome_408169_status_0,fraction_virus_metagenome_408169_status_1,fraction_virus_metagenome_408169_status_2,fraction_virus_metagenome_408169_status_3,fraction_virus_unclassified_2787823m408169_status_0,fraction_virus_unclassified_2787823m408169_status_1,fraction_virus_unclassified_2787823m408169_status_2,fraction_virus_unclassified_2787823m408169_status_3,fraction_virus_other_entries_2787854_status_0,fraction_virus_other_entries_2787854_status_1,fraction_virus_other_entries_2787854_status_2,fraction_virus_other_entries_2787854_status_3,fraction_virus_host_root_1_status_0,fraction_virus_host_root_1_status_1,fraction_virus_host_root_1_status_2,fraction_virus_host_root_1_status_3,fraction_virus_unknown,fraction_virus_vertebrate_7742_exclusive,fraction_virus_invertebrate_33208m7742_exclusive,fraction_virus_plant_33090_exclusive,fraction_virus_fungi_4751_exclusive,fraction_virus_bacteria_2_exclusive,fraction_virus_archaea_2157_exclusive,fraction_virus_other_eukaryote_2759mMFP_exclusive,fraction_virus_virus_10239_exclusive,fraction_virus_metagenome_408169_exclusive,fraction_virus_unclassified_2787823m408169_exclusive,fraction_virus_other_entries_2787854_exclusive,fraction_virus_host_root_1_exclusive,fraction_virus_unknown_exclusive
SAMN55037916,"Columbia WWTP, MO",MU,2023-12-26,80575,80575,0,79678,458,434,5,79971,165,421,18,50533,29603,347,92,80133,3,439,0,74007,6122,274,172,80107,29,439,0,80124,12,439,0,80106,23,446,0,79076,1053,446,0,80575,0,0,0,80575,0,0,0,36227,43909,429,10,0,463,183,29695,3,6294,29,12,0,1053,0,0,42694,149,1.0,0.0,0.988867514737822,0.0056841452063295,0.0053862860688799,6.205398696866273e-05,0.9925038783741856,0.0020477815699658,0.0052249457027614,0.0002233943530871,0.6271548246974868,0.3673968352466646,0.0043065466956251,0.0011417933602233,0.9945144275519702,3.7232392181197645e-05,0.0054483400558485,0.0,0.9184858827179646,0.0759789016444306,0.0034005584858827,0.0021346571517219,0.9941917468197332,0.0003599131244182,0.0054483400558485,0.0,0.9944027303754266,0.0001489295687247,0.0054483400558485,0.0,0.9941793360223394,0.0002854483400558,0.0055352156376047,0.0,0.981396214706795,0.0130685696556003,0.0055352156376047,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.449605957182749,0.5449457027614024,0.0053242320819112,0.0001241079739373,0.0,0.0057461991932981,0.002271175923053,0.368538628606888,3.7232392181197645e-05,0.0781135587961526,0.0003599131244182,0.0001489295687247,0.0,0.0130685696556003,0.0,0.0,0.5298665839280173,0.0018492088116661
SAMN52958976,"Columbia WWTP, MO",MU,2024-01-02,154163,154163,0,151068,1668,1415,12,152271,465,1391,36,65234,87502,1367,60,152728,8,1427,0,139766,12961,780,656,152650,86,1427,0,152693,43,1424,3,152709,27,1427,0,151061,1658,1444,0,154163,0,0,0,154163,0,0,0,102514,50213,1395,41,0,1680,500,87560,6,13617,86,46,0,1658,0,0,48382,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN52958977,"Columbia WWTP, MO",MU,2024-01-09,222680,222680,0,218699,2407,1550,24,220558,548,1523,51,114639,106467,1377,197,221096,10,1574,0,203991,17096,1004,589,220962,144,1574,0,221051,55,1569,5,221031,65,1584,0,218634,2440,1606,0,222680,0,0,0,222680,0,0,0,126332,94765,1540,43,1,2431,597,106663,10,17685,144,60,0,2440,0,0,91964,686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN52958978,"Columbia WWTP, MO",MU,2024-01-16,199371,199371,0,196217,1955,1181,18,198023,149,1192,7,42634,155538,1097,102,198161,11,1199,0,188746,9397,742,486,198156,16,1199,0,198053,119,1183,16,198165,7,1199,0,197256,906,1209,0,199371,0,0,0,199371,0,0,0,166941,31205,1209,16,1,1973,155,155639,11,9883,16,135,0,906,0,0,30069,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN52958979,"Columbia WWTP, MO",MU,2024-01-23,142044,142044,0,139135,1891,1004,14,140838,188,1013,5,33072,107954,961,57,141026,0,1018,0,130061,10930,715,338,141021,5,1018,0,140907,119,1008,10,141005,21,1018,0,139950,1047,1047,0,142044,0,0,0,142044,0,0,0,120875,20114,1044,11,0,1905,191,108011,0,11268,5,128,0,1047,0,0,18869,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN52958980,"Columbia WWTP, MO",MU,2024-01-30,180973,180973,0,178404,1760,789,20,179958,206,802,7,45946,134218,715,94,180142,22,809,0,172879,7268,595,231,180154,10,809,0,180125,39,800,9,180136,28,809,0,179290,838,845,0,180973,0,0,0,180973,0,0,0,143423,36725,799,26,2,1780,211,134312,22,7499,10,48,0,838,0,0,35811,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN52958981,"Columbia WWTP, MO",MU,2024-02-06,136090,136090,0,132713,1913,1450,14,134464,162,1456,8,49463,85163,1427,37,134623,3,1464,0,118369,16206,837,678,134604,22,1464,0,134513,113,1451,13,134618,8,1464,0,133929,661,1500,0,136090,0,0,0,136090,0,0,0,103531,31047,1495,17,0,1927,167,85200,3,16884,22,125,0,661,0,0,30352,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN52958982,"Columbia WWTP, MO",MU,2024-02-13,139436,139436,0,135914,1812,1700,10,137378,347,1708,3,48030,89695,1664,47,137722,3,1711,0,119933,17735,1075,693,137711,14,1711,0,137580,145,1687,24,137723,2,1711,0,137099,606,1731,0,139436,0,0,0,139436,0,0,0,109642,28025,1744,25,0,1822,348,89742,3,18428,14,169,0,606,0,0,27337,967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN52958983,"Columbia WWTP, MO",MU,2024-02-20,181631,181631,0,176310,3601,1708,12,179506,405,1718,2,61417,118494,1681,39,179909,2,1720,0,161791,18081,1131,628,179904,7,1720,0,179738,173,1701,19,179903,7,1721,0,178759,1132,1740,0,181631,0,0,0,181631,0,0,0,140624,39248,1415,344,3,3613,404,118533,2,18709,7,192,0,1132,0,0,38318,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN52958984,"Columbia WWTP, MO",MU,2024-02-27,201728,201728,0,199367,1366,985,10,200612,121,987,8,159722,41011,977,18,200729,4,995,0,192186,8531,585,426,200706,27,995,0,200722,11,994,1,200714,5,1009,0,198952,1748,1028,0,201728,0,0,0,201728,0,0,0,51052,149679,932,65,0,1376,128,41029,4,8957,27,12,0,1748,0,0,147964,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
