sra_accession,site_name,date,n_reads_profiled,total_read_pairs,n_reads_classified_1_clade_non_rrna,n_reads_classified_1_clade_rrna,n_reads_unclassified_0_clade_non_rrna,n_reads_unclassified_0_clade_rrna,n_reads_root_direct_1_non_rrna,n_reads_root_direct_1_rrna,rrna_fraction,n_reads_cellular_organisms_131567_clade_non_rrna,n_reads_cellular_organisms_131567_clade_rrna,n_reads_cellular_organisms_131567_direct_non_rrna,n_reads_cellular_organisms_131567_direct_rrna,n_reads_bacteria_2_clade_non_rrna,n_reads_bacteria_2_clade_rrna,n_reads_archaea_2157_clade_non_rrna,n_reads_archaea_2157_clade_rrna,n_reads_eukaryota_2759_clade_non_rrna,n_reads_eukaryota_2759_clade_rrna,n_reads_viruses_10239_clade_non_rrna,n_reads_viruses_10239_clade_rrna,n_reads_unclassified_entries_2787823_clade_non_rrna,n_reads_unclassified_entries_2787823_clade_rrna,n_reads_other_entries_2787854_clade_non_rrna,n_reads_other_entries_2787854_clade_rrna,n_reads_pmmov_12239_clade_non_rrna,n_reads_tobamovirus_12234_clade_non_rrna,n_reads_tbrv_12275_clade_non_rrna,n_reads_tobrfv_3432872_clade_non_rrna,n_reads_tmv_3432892_clade_non_rrna,n_reads_cgmmv_3432895_clade_non_rrna,fraction_classified_1_clade_non_rrna,fraction_classified_1_clade_rrna,fraction_unclassified_0_clade_non_rrna,fraction_unclassified_0_clade_rrna,fraction_root_direct_1_non_rrna,fraction_root_direct_1_rrna,fraction_cellular_organisms_131567_clade_non_rrna,fraction_cellular_organisms_131567_clade_rrna,fraction_cellular_organisms_131567_direct_non_rrna,fraction_cellular_organisms_131567_direct_rrna,fraction_bacteria_2_clade_non_rrna,fraction_bacteria_2_clade_rrna,fraction_archaea_2157_clade_non_rrna,fraction_archaea_2157_clade_rrna,fraction_eukaryota_2759_clade_non_rrna,fraction_eukaryota_2759_clade_rrna,fraction_viruses_10239_clade_non_rrna,fraction_viruses_10239_clade_rrna,fraction_unclassified_entries_2787823_clade_non_rrna,fraction_unclassified_entries_2787823_clade_rrna,fraction_other_entries_2787854_clade_non_rrna,fraction_other_entries_2787854_clade_rrna,fraction_pmmov_12239_clade_non_rrna,fraction_tobamovirus_12234_clade_non_rrna,fraction_tbrv_12275_clade_non_rrna,fraction_tobrfv_3432872_clade_non_rrna,fraction_tmv_3432892_clade_non_rrna,fraction_cgmmv_3432895_clade_non_rrna
SAMN55037916,"Columbia WWTP, MO",2023-12-26,4935585,921045273,429774,2797748,1561948,146115,299,86,0.5964389870909982,348900,2797382,1174,17025,342350,2761786,1356,8199,4020,10372,80575,280,0,0,0,0,1848,27579,0,23197,106,693,0.0871051926723128,0.5668460244837717,0.3164558202366889,0.0295929626072264,6.060701752414101e-05,1.742085872670695e-05,0.070718990476498,0.5667718892543647,0.0002380335878179,0.0034492566805863,0.0693912411362303,0.5595592912850134,0.0002748850636499,0.0016616233892496,0.0008148306887998,0.0021017178995154,0.0163255951782906,5.67143706804408e-05,0.0,0.0,0.0,0.0,0.0003744269196081,0.0055874421212534,0.0,0.0046996079138804,2.1468315014741125e-05,0.0001404211585569
SAMN52958976,"Columbia WWTP, MO",2024-01-02,14876265,2631730289,1818747,7720600,5097238,239680,740,329,0.5350993680201314,1663843,7718473,6741,37860,1636399,7617240,4342,16182,16361,47191,154163,1798,0,0,1,0,5449,83852,0,72528,384,2034,0.1222583087892021,0.518987797004154,0.3426423231906664,0.0161115710159774,4.9743668857740835e-05,2.2115766289455047e-05,0.111845480031446,0.518844817566775,0.0004531379348243,0.0025449936526406,0.1100006621285652,0.5120398164458619,0.0002918743380815,0.0010877730398053,0.0010998056299749,0.003172234428467,0.0103630178677241,0.0001208636710894,0.0,0.0,6.722117413208221e-08,0.0,0.0003662881778457,0.0056366298933233,0.0,0.0048754173174516,2.581293086671957e-05,0.0001367278681846
SAMN52958977,"Columbia WWTP, MO",2024-01-09,14847703,2484427743,1510956,8092717,4949219,294811,962,340,0.5649040797758415,1287313,8090157,8170,46674,1258252,7966821,4678,20146,16213,56516,222680,2220,0,0,1,0,7256,101088,0,84608,514,3157,0.1017636195982637,0.5450484159064873,0.3333323006258948,0.019855663869354,6.479116668753409e-05,2.2899164941540117e-05,0.0867011550540848,0.5448759986645746,0.0005502534634481,0.0031435165425924,0.0847438826059492,0.5365692592315457,0.0003150655694015,0.0013568428732713,0.0010919534152858,0.0038063800171649,0.0149976060270063,0.0001495180769712,0.0,0.0,6.735048512217683e-08,0.0,0.0004886951200465,0.0068083258400306,0.0,0.0056983898452171,3.461814935279888e-05,0.0002126254815307
SAMN52958978,"Columbia WWTP, MO",2024-01-16,7894411,1351694366,692129,2129617,4984532,88133,582,104,0.2809265947769884,492176,2128993,3117,9032,454226,2106307,2219,4868,32614,8786,199371,520,0,0,0,0,22612,153222,0,102797,1053,4174,0.0876732919023344,0.2697626206692304,0.6314001133206771,0.011163974107758,7.372304279571966e-05,1.3173877063152654e-05,0.0623448665137905,0.2696835774068515,0.00039483629621,0.0011441005541768,0.0575376681046882,0.2668098988005565,0.0002810849346455,0.0006166387840714,0.0041312771782467,0.0011129392680467,0.0252547023457481,6.586938531576327e-05,0.0,0.0,0.0,0.0,0.0028643048860769,0.0194089210708689,0.0,0.0130214907736625,0.0001333855052644,0.0005287284890538
SAMN52958979,"Columbia WWTP, MO",2024-01-23,7884597,1341763590,708937,1721635,5361343,92682,646,80,0.2301090341078941,566246,1721038,3835,7775,518028,1699388,2059,4878,42324,8997,142044,517,0,0,1,0,13614,105160,0,74324,666,1912,0.0899141706291393,0.2183542164551974,0.6799767952629665,0.0117548176526967,8.193189835828007e-05,1.014636512176843e-05,0.071816733309261,0.2182784992054762,0.0004863913780247,0.0009860998602718,0.0657012653912432,0.2155326391443976,0.0002611420723215,0.0006186746132998,0.0053679344676715,0.0011410855875068,0.0180153785919559,6.557088459942848e-05,0.0,0.0,1.2682956402210537e-07,0.0,0.0017266576845969,0.0133373969525646,0.0,0.0094264805163789,8.446848963872218e-05,0.0002424981264102
SAMN52958980,"Columbia WWTP, MO",2024-01-30,7919104,1253032155,745923,2932493,4074845,165843,398,68,0.3912483028383009,564551,2931874,2179,17340,529997,2894181,1775,7879,30600,12474,180973,551,0,0,1,0,11706,131104,0,109122,1562,1307,0.0941928531308592,0.3703061608990108,0.5145588440308398,0.0209421419392901,5.02582110299347e-05,8.586830025214974e-06,0.0712897570230167,0.3702279954903989,0.0002751573915432,0.0021896416564298,0.0669263846010861,0.3654682398412749,0.0002241415190405,0.0009949357907157,0.0038640735113467,0.0015751782019784,0.0228527116199004,6.95785785866684e-05,0.0,0.0,1.2627691213551432e-07,0.0,0.0014781975334583,0.0165554082886144,0.0,0.0137795892060515,0.0001972445367556,0.0001650439241611
SAMN52958981,"Columbia WWTP, MO",2024-02-06,7903285,1258957256,765667,1664263,5359089,114266,834,105,0.2250366777865153,628743,1663649,3767,8787,577222,1639886,2140,2594,45614,12382,136090,509,0,0,0,0,8793,83204,0,66183,881,913,0.0968795886773664,0.2105786391354987,0.6780837335361182,0.0144580386510166,0.0001055257402459,1.328561477917094e-05,0.0795546408866692,0.2105009499214567,0.0004766372464108,0.0011118161625197,0.0730357060386915,0.2074942255024335,0.0002707734821659,0.0003282179498778,0.0057715241194009,0.0015666903066256,0.0172194220504511,6.440359926283818e-05,0.0,0.0,0.0,0.0,0.0011125753405071,0.0105277742103441,0.0,0.0083741127898082,0.0001114726344804,0.0001155215837465
SAMN52958982,"Columbia WWTP, MO",2024-02-13,7884398,1542733982,761467,1621515,5402746,98670,1185,261,0.218175820145051,620830,1620116,4025,12414,559169,1584926,2066,2104,55570,20672,139436,1138,0,0,16,0,6573,87986,0,74898,565,1211,0.0965789651917622,0.2056612312062379,0.6852452146631867,0.012514588938813,0.0001502968267203,3.31033517080188e-05,0.078741585597277,0.2054837921677723,0.0005105018797884,0.0015745019467561,0.0709209504644489,0.2010205471616222,0.0002620364928305,0.0002668561379067,0.0070480967602092,0.0026218869214872,0.0176850534435222,0.0001443356867575,0.0,0.0,2.0293242426371677e-06,0.0,0.0008336717654283,0.0111595076757921,0.0,0.0094995204453149,7.166051231812499e-05,0.0001535944786146
SAMN52958983,"Columbia WWTP, MO",2024-02-20,7862196,1434992035,732611,1417952,5577565,134068,925,214,0.1974028630168975,550054,1416542,5335,12767,482917,1383661,2517,1986,59285,18128,181631,1196,0,0,1,0,13418,116595,0,81356,378,1355,0.0931814724537521,0.1803506297731575,0.7094156645293503,0.01705223324374,0.0001176516077696,2.7218858446164406e-05,0.069961878335264,0.1801712905656384,0.0006785635972443,0.0016238465690756,0.0614226610478802,0.1759891256844779,0.0003201395640607,0.0002526011816545,0.0075405141260787,0.0023057171304302,0.023101815319791,0.0001521203490729,0.0,0.0,1.2719092731852525e-07,0.0,0.0017066478627599,0.0148298261707034,0.0,0.0103477450829259,4.8078170526402545e-05,0.0001723437065166
SAMN52958984,"Columbia WWTP, MO",2024-02-27,7897760,1219639909,960809,4560286,2282103,94562,437,125,0.5893883835416625,758644,4559578,1462,15671,747332,4512351,2315,17275,7535,14281,201728,583,0,0,0,0,4627,39591,0,30198,192,530,0.1216558872389133,0.5774151151718968,0.2889557292194242,0.0119732683697656,5.5332144810680494e-05,1.582727254310083e-05,0.0960581228095054,0.5773254695002127,0.0001851157796641,0.0019842335041834,0.094625817953445,0.5713456726970685,0.0002931210874982,0.0021873290654565,0.0009540679888981,0.0018082342335041,0.0255424322845971,7.381839914102227e-05,0.0,0.0,0.0,0.0,0.0005858623204554,0.0050129403780312,0.0,0.0038236158100524,2.4310690626202873e-05,6.710763558274752e-05
