sra_accession,site_name,raw_n_read_pairs,raw_n_bases_approx,raw_mean_percent_gc,raw_mean_mean_seq_len,raw_mean_percent_duplicates,cleaned_n_read_pairs,cleaned_n_bases_approx,cleaned_mean_percent_gc,cleaned_mean_mean_seq_len,cleaned_mean_percent_duplicates
SAMN55037916,"Columbia WWTP, MO",4999215,1359700000.0,49.800077012090895,136.00577590681738,35.830166265148854,4935585,1274800000.0,49.79916808240563,129.1590702014047,36.77284392019691
SAMN52958988,"Columbia WWTP, MO",4008488,1210300000.0,49.0,151.0,42.57665222081952,3976360,1085700000.0,49.74987375388546,136.53549628303273,44.29094807198879
SAMN52958989,"Columbia WWTP, MO",4008497,1210400000.0,50.0,151.0,43.58219837691014,3974355,1105100000.0,50.0,139.0637092056447,45.13255024886305
SAMN52958990,"Columbia WWTP, MO",4008517,1210400000.0,49.0,151.0,50.285047319213206,3968154,1125500000.0,49.24995577288583,141.85167158331052,51.83269032233125
SAMN52958991,"Columbia WWTP, MO",4007256,1209900000.0,50.0,151.0,50.26436434508186,3965796,1109000000.0,50.0,139.83772412902732,51.76732777907235
SAMN52958992,"Columbia WWTP, MO",7997638,2414800000.0,42.0,151.0,41.99943521256555,7878874,2234700000.0,42.0,141.8539035527158,43.46367409283609
SAMN52958993,"Columbia WWTP, MO",8004764,2417000000.0,45.0,151.0,42.97464351682133,7877914,2224100000.0,45.0,141.1761677012468,43.765681504267235
SAMN52958994,"Columbia WWTP, MO",7999834,2415600000.0,43.0,151.0,39.37362057135961,7897738,2267400000.0,42.87490164905445,143.5700518300303,40.59908892488088
SAMN52958995,"Columbia WWTP, MO",8004232,2416900000.0,44.0,151.0,36.06639906928777,7919657,2271500000.0,43.24997345213309,143.42599591118656,37.11350376540691
SAMN52958996,"Columbia WWTP, MO",7997921,2414800000.0,45.0,151.0,51.93156644301591,7875808,2232100000.0,44.874663780528934,141.72975255364275,52.62109815665741
SAMN52958997,"Columbia WWTP, MO",8004506,2417000000.0,43.750111499697795,151.0,38.066611291134734,7882783,2271700000.0,43.0,144.1165798297378,38.763072494054455
SAMN52958998,"Columbia WWTP, MO",7998071,2415000000.0,43.0,151.0,52.525765987036074,7862478,2285100000.0,43.0,145.33533912590917,53.5501124909928
SAMN52958999,"Columbia WWTP, MO",8998067,2614900000.0,38.22208103140375,145.32523518662398,30.332184091233948,8808647,2414600000.0,37.66548835479501,137.07581970307132,31.414496894050643
SAMN52959000,"Columbia WWTP, MO",8998489,2615200000.0,38.22213429387978,145.33447315432625,24.264755599849742,8787624,2445200000.0,37.443712316321225,139.14971464414043,24.24528876514253
SAMN52959001,"Columbia WWTP, MO",9001689,2616100000.0,36.55560917512258,145.327745159825,54.118638422051355,8809017,2455400000.0,36.0,139.39388923871982,55.36771375936865
SAMN52959002,"Columbia WWTP, MO",9000363,2615700000.0,38.777740853341136,145.32651283064916,40.529946521786954,8770472,2429800000.0,38.0,138.54254497363425,41.260029361233634
SAMN52959003,"Columbia WWTP, MO",8994015,2613700000.0,40.77760388436088,145.32553648176037,43.65287161072357,8838710,2426300000.0,40.0,137.2719132656236,44.85168193579448
SAMN52959004,"Columbia WWTP, MO",7994094,2413800000.0,49.0,151.0,31.56047383829562,7731445,2166600000.0,48.87472160766843,140.1347039266269,32.730772882083286
SAMN52959005,"Columbia WWTP, MO",7990610,2412800000.0,50.0,151.0,57.32485268138944,7726708,2101800000.0,49.0,136.0330656341614,60.256575823413286
SAMN52959006,"Columbia WWTP, MO",7993803,2413800000.0,49.0,151.0,31.257405578626575,7764069,2196200000.0,49.0,141.44976899355223,32.313104811078276
SAMN52959007,"Columbia WWTP, MO",7994909,2414100000.0,50.0,151.0,61.14275071449947,7765338,2182400000.0,49.0,140.53233890141036,64.16526081938967
SAMN52959008,"Columbia WWTP, MO",8010305,1601600000.0,51.0,100.0,47.812278918914586,7886646,1570100000.0,50.87471442232858,99.53342016365386,48.47128081219709
SAMN52959009,"Columbia WWTP, MO",8006089,1600700000.0,50.0,100.0,45.658636256711375,7884864,1569100000.0,50.0,99.4966622125632,46.35592246421905
SAMN52959010,"Columbia WWTP, MO",8005417,1600600000.0,51.0,100.0,64.57685348004708,7885768,1566300000.0,51.0,99.31231479292822,65.54480156958157
SAMN52959011,"Columbia WWTP, MO",8006623,1601000000.0,49.124965419253535,100.0,47.99737896791234,7881490,1570400000.0,49.0,99.62322961774994,48.708337498108655
SAMN52959012,"Columbia WWTP, MO",8005462,1600600000.0,51.749953719098286,100.0,49.79869830837713,7873910,1564600000.0,51.37439772616146,99.34149602929168,50.71554508876889
SAMN52959013,"Columbia WWTP, MO",7994728,2413900000.0,49.0,151.0,66.10488323659237,7903478,2182300000.0,49.0,138.07281838451377,67.49625327785294
SAMN52959014,"Columbia WWTP, MO",7997498,2414900000.0,51.0,151.0,50.712992662100106,7890170,2206100000.0,51.0,139.81574433757447,52.386520325203605
SAMN52959015,"Columbia WWTP, MO",8013414,2419600000.0,52.0,151.0,36.47602249675835,7788707,2205700000.0,51.0,141.61399215556574,37.41780363853789
SAMN52959016,"Columbia WWTP, MO",8011986,2419200000.0,54.0,151.0,40.10812318885921,7794965,2162800000.0,54.0,138.75135353397994,41.85702655056508
SAMN52959017,"Columbia WWTP, MO",8024123,2422800000.0,52.8749859641982,151.0,51.6067370968936,7904517,2244800000.0,53.0,142.02214227637185,53.37892329780685
SAMN52959018,"Columbia WWTP, MO",8022634,2422400000.0,50.0,151.0,40.3047647084922,7895720,2201400000.0,50.0,139.4329120080246,42.24590832833965
SAMN52959019,"Columbia WWTP, MO",3998444,1207400000.0,49.0,151.0,37.72897205925072,3975403,1118400000.0,49.0,140.6743572915752,38.97836442511744
SAMN52959020,"Columbia WWTP, MO",4000852,1208100000.0,50.0,151.0,62.4630292523109,3977718,1105300000.0,50.0,138.9510503258401,64.31199438020961
