site_name,state,city,population_served,lat,lon,loc_type,sample_type,region
"Columbia WWTP, MO",Missouri,"Columbia, MO","123,180",38.9498,-92.3301,WWTP,24h composite,Midwest
"Boston DITP North, MA",Massachusetts,"Boston, MA","1,075,656",42.3514,-70.9604,WWTP,24h composite,Northeast
"Boston DITP South, MA",Massachusetts,"Boston, MA","1,375,228",42.3514,-70.9604,WWTP,24h composite,Northeast
"Southern California, CA",California,"Southern California, CA",,34.5945,-116.6672,WWTP,24h composite,West
"Riverside WQCP, CA",California,"Riverside, CA","350,000",33.9824,-117.3726,WWTP,24h composite,West
"Los Angeles HWRP, CA",California,"Los Angeles, CA",,33.9243,-118.4312,WWTP,24h composite,West
"Chicago (CHI-B), IL",Illinois,"Chicago, IL","1,134,897",41.8821,-87.6312,WWTP,24h composite,Midwest
"Chicago (CHI-A), IL",Illinois,"Chicago, IL","1,263,110",41.8821,-87.6312,WWTP,24h composite,Midwest
"Chicago (CHI-C), IL",Illinois,"Chicago, IL",,41.8821,-87.6312,Airport (manhole),Moore swab,Midwest
"Chicago (CHI-D1), IL",Illinois,"Chicago, IL","1,127,737",41.8821,-87.6312,WWTP,24h composite,Midwest
"Chicago (CHI-D2), IL",Illinois,"Chicago, IL","1,127,736",41.8821,-87.6312,WWTP,24h composite,Midwest
"Ottumwa WPCF, IA",Iowa,"Ottumwa, IA","25,529",41.0154,-92.4094,WWTP,24h composite,Midwest
"Boise RWF, ID",Idaho,"Boise, ID","148,300; 122,600",43.614,-116.2026,WWTP,24h composite,West
"Milan WWTF, MO",Missouri,"Milan, MO","1,819",40.202,-93.1245,WWTP,24h composite,Midwest
"Monett WWTP, MO",Missouri,"Monett, MO","9,100",36.9195,-93.9278,WWTP,24h composite,Midwest
"Kansas City Blue River WWTP, MO",Missouri,"Kansas City, MO","490,000",39.0898,-94.9051,WWTP,24h composite,Midwest
"Kansas City Westside WWTP, MO",Missouri,"Kansas City, MO","61,250",39.0898,-94.9051,WWTP,24h composite,Midwest
"Chicago (CHI-D3), IL",Illinois,"Chicago, IL",,41.8821,-87.6312,WWTP,24h composite,Midwest
"Ontario, CA",California,"Ontario, CA","890,000",34.0626,-117.6462,WWTP,24h composite,West
"Central Oklahoma (OK-A), OK",Oklahoma,"Central Oklahoma, OK","107,331",36.0657,-97.1486,WWTP,24h composite,South
"Central Oklahoma (OK-B), OK",Oklahoma,"Central Oklahoma, OK","442,168",36.0657,-97.1486,WWTP,24h composite,South
"Palo Alto RWQCP, CA",California,"Palo Alto, CA","236,000",37.4256,-122.1765,WWTP,24h composite,West
"Sacramento, CA",California,"Sacramento, CA","1,600,000",38.579,-121.4962,WWTP,24h composite,West
"NYC (Hospital A), NY",New York,"New York, NY",,40.7119,-74.0077,Hospital (service hatch),Grab,Northeast
"NYC (Hospital C), NY",New York,"New York, NY",,40.7119,-74.0077,Hospital (manhole),Grab,Northeast
"NYC (Hospital B), NY",New York,"New York, NY",,40.7119,-74.0077,Hospital (manhole),Grab,Northeast
"NYC (Hospital D), NY",New York,"New York, NY",,40.7119,-74.0077,Hospital (manhole),Grab,Northeast
"Miami-Dade CDWWTP, FL",Florida,"Miami, FL","900,000",25.779,-80.3043,WWTP,24h composite,South
