year,month,category,runs,mbases,mbytes
2000,1,wastewater_metagenome,11,2760,1225
2000,1,wastewater_shotgun_metagenomic,3,2685,1200
2001,2,wastewater_metagenome,2,5996,2824
2001,3,wastewater_metagenome,3,9937,4707
2001,4,wastewater_metagenome,1,2134,1024
2002,4,wastewater_metagenome,11,22798,6918
2005,4,wastewater_metagenome,2,5,13
2005,6,wastewater_metagenome,1,15293,6199
2005,6,wastewater_shotgun_metagenomic,1,15293,6199
2006,2,wastewater_metagenome,61,7829,4602
2006,5,wastewater_metagenome,19,382,246
2006,6,wastewater_metagenome,3,14,39
2006,8,wastewater_metagenome,52,3818,2202
2006,10,wastewater_metagenome,17,3650,1722
2006,11,wastewater_metagenome,1,3813,1754
2007,2,wastewater_metagenome,53,3340,1906
2007,3,wastewater_metagenome,4,32229,19671
2007,4,wastewater_metagenome,3,10,30
2007,5,wastewater_metagenome,11,191,109
2007,6,wastewater_metagenome,1,9492,2726
2007,6,wastewater_shotgun_metagenomic,1,9492,2726
2007,7,wastewater_metagenome,1,5129,3378
2007,7,wastewater_shotgun_metagenomic,1,5129,3378
2007,8,wastewater_metagenome,54,6898,4002
2007,9,wastewater_metagenome,4,14932,7194
2007,9,wastewater_shotgun_metagenomic,1,14921,7161
2007,10,wastewater_metagenome,16,317,210
2007,11,wastewater_metagenome,2,8,22
2007,12,wastewater_metagenome,15,239199,149742
2007,12,wastewater_shotgun_metagenomic,13,239192,149723
2008,1,wastewater_metagenome,1,5126,3397
2008,1,wastewater_shotgun_metagenomic,1,5126,3397
2008,2,wastewater_metagenome,43,3990,2354
2008,3,wastewater_metagenome,2,8,23
2008,4,wastewater_metagenome,6,15251,7304
2008,4,wastewater_shotgun_metagenomic,1,15217,7210
2008,5,wastewater_metagenome,18,434,280
2008,6,wastewater_metagenome,10,56,156
2008,7,wastewater_metagenome,7,37471,27402
2008,7,wastewater_shotgun_metagenomic,1,37428,27283
2008,8,wastewater_metagenome,52,3975,2442
2008,10,wastewater_metagenome,16,493,302
2008,12,wastewater_metagenome,2,9,28
2009,1,wastewater_metagenome,1,5123,3392
2009,1,wastewater_shotgun_metagenomic,1,5123,3392
2009,2,wastewater_metagenome,56,20090,10370
2009,2,wastewater_shotgun_metagenomic,1,14307,6724
2009,3,wastewater_metagenome,2,7,22
2009,4,wastewater_metagenome,4,37,104
2009,5,wastewater_metagenome,17,975,570
2009,6,wastewater_metagenome,4,67,182
2009,7,wastewater_metagenome,1,5127,3394
2009,7,wastewater_shotgun_metagenomic,1,5127,3394
2009,8,wastewater_metagenome,52,7548,4872
2009,10,wastewater_metagenome,27,1206,837
2009,12,wastewater_metagenome,5,254,95
2010,1,wastewater_metagenome,1,5116,3384
2010,1,wastewater_shotgun_metagenomic,1,5116,3384
2010,2,wastewater_metagenome,74,22795,14391
2010,2,wastewater_shotgun_metagenomic,2,17980,11298
2010,3,wastewater_metagenome,9,4839,2938
2010,3,wastewater_shotgun_metagenomic,1,4787,2891
2010,4,wastewater_metagenome,8,15,32
2010,5,wastewater_metagenome,48,18816,10645
2010,5,wastewater_shotgun_metagenomic,1,17961,10094
2010,6,wastewater_metagenome,25,21278,13360
2010,6,wastewater_shotgun_metagenomic,2,21042,13123
2010,7,wastewater_metagenome,19,19053,10064
2010,7,wastewater_shotgun_metagenomic,2,18790,9949
2010,8,wastewater_metagenome,75,4108,2611
2010,9,wastewater_metagenome,19,20962,12919
2010,9,wastewater_shotgun_metagenomic,2,20536,12733
2010,10,wastewater_metagenome,53,33083,19232
2010,10,wastewater_shotgun_metagenomic,8,31432,18315
2010,11,wastewater_metagenome,31,17,26
2010,12,wastewater_metagenome,26,159129,95132
2010,12,wastewater_shotgun_metagenomic,6,122947,75670
2011,1,wastewater_metagenome,26,31994,18483
2011,1,wastewater_shotgun_metagenomic,8,27973,15283
2011,2,wastewater_metagenome,40,4533,2807
2011,3,wastewater_metagenome,5,28074,18610
2011,3,wastewater_shotgun_metagenomic,4,28003,18451
2011,4,wastewater_metagenome,41,55674,36604
2011,4,wastewater_shotgun_metagenomic,8,50479,33298
2011,5,wastewater_metagenome,31,98267,64178
2011,5,wastewater_shotgun_metagenomic,11,97510,63686
2011,6,wastewater_metagenome,16,49650,32824
2011,6,wastewater_shotgun_metagenomic,8,49470,32693
2011,7,wastewater_metagenome,15,60799,39525
2011,7,wastewater_shotgun_metagenomic,6,60588,39383
2011,8,wastewater_metagenome,56,55930,36538
2011,8,wastewater_shotgun_metagenomic,8,50278,32979
2011,9,wastewater_metagenome,29,58787,38513
2011,9,wastewater_shotgun_metagenomic,12,58133,38091
2011,10,wastewater_metagenome,55,93743,58241
2011,10,wastewater_shotgun_metagenomic,15,92018,57101
2011,11,wastewater_metagenome,43,182619,119092
2011,11,wastewater_shotgun_metagenomic,13,182039,118586
2011,12,wastewater_metagenome,50,30311,19887
2011,12,wastewater_shotgun_metagenomic,7,28525,18772
2012,1,wastewater_metagenome,161,103198,62229
2012,1,wastewater_shotgun_metagenomic,77,102067,61709
2012,2,wastewater_metagenome,62,85541,56458
2012,2,wastewater_shotgun_metagenomic,11,79376,52705
2012,3,wastewater_metagenome,73,143329,100765
2012,3,wastewater_shotgun_metagenomic,23,120337,78449
2012,4,wastewater_metagenome,97,57698,37764
2012,4,wastewater_shotgun_metagenomic,26,55922,36775
2012,5,wastewater_metagenome,93,94798,59538
2012,5,wastewater_shotgun_metagenomic,51,92720,58342
2012,6,wastewater_metagenome,31,28365,17446
2012,6,wastewater_shotgun_metagenomic,12,27553,16969
2012,7,wastewater_metagenome,41,17325,10099
2012,7,wastewater_shotgun_metagenomic,13,15920,9390
2012,8,wastewater_metagenome,266,110385,54682
2012,8,wastewater_shotgun_metagenomic,47,92991,44571
2012,9,wastewater_metagenome,111,3510,2047
2012,10,wastewater_metagenome,168,45213,27483
2012,10,wastewater_shotgun_metagenomic,7,31157,19100
2012,11,wastewater_metagenome,37,11390,6117
2012,11,wastewater_shotgun_metagenomic,10,9638,5059
2012,12,wastewater_metagenome,29,79179,50314
2012,12,wastewater_shotgun_metagenomic,7,77896,49465
2013,1,wastewater_metagenome,731,263996,142156
2013,1,wastewater_shotgun_metagenomic,274,250726,135618
2013,2,wastewater_metagenome,109,9218,5055
2013,2,wastewater_shotgun_metagenomic,8,1448,535
2013,3,wastewater_metagenome,104,3361,1974
2013,3,wastewater_shotgun_metagenomic,1,532,330
2013,4,wastewater_metagenome,124,65377,31252
2013,4,wastewater_shotgun_metagenomic,11,59055,27344
2013,5,wastewater_metagenome,230,129624,57512
2013,5,wastewater_shotgun_metagenomic,28,107902,44632
2013,6,wastewater_metagenome,176,7855,4169
2013,7,wastewater_metagenome,109,4794,2712
2013,8,wastewater_metagenome,309,36962,21750
2013,8,wastewater_shotgun_metagenomic,16,21952,12983
2013,9,wastewater_metagenome,234,36734,19992
2013,9,wastewater_shotgun_metagenomic,2,17789,8664
2013,10,wastewater_metagenome,202,190274,94908
2013,10,wastewater_shotgun_metagenomic,25,180451,88910
2013,11,wastewater_metagenome,126,23593,12314
2013,11,wastewater_shotgun_metagenomic,11,13530,7200
2013,12,wastewater_metagenome,89,7943,4207
2013,12,wastewater_shotgun_metagenomic,2,4345,2309
2014,1,wastewater_metagenome,270,58733,31436
2014,1,wastewater_shotgun_metagenomic,111,55191,29364
2014,2,wastewater_metagenome,377,15788,9000
2014,2,wastewater_shotgun_metagenomic,2,4256,2265
2014,3,wastewater_metagenome,38,8047,4567
2014,3,wastewater_shotgun_metagenomic,2,5640,2960
2014,4,wastewater_metagenome,51,84442,47285
2014,4,wastewater_shotgun_metagenomic,10,63874,33834
2014,5,wastewater_metagenome,51,35773,15440
2014,5,wastewater_shotgun_metagenomic,4,33980,14349
2014,6,wastewater_metagenome,139,155311,70085
2014,6,wastewater_shotgun_metagenomic,11,73860,32872
2014,7,wastewater_metagenome,120,179107,87365
2014,7,wastewater_shotgun_metagenomic,15,126278,63238
2014,8,wastewater_metagenome,328,180097,91931
2014,8,wastewater_shotgun_metagenomic,14,123813,65054
2014,9,wastewater_metagenome,211,163193,80114
2014,9,wastewater_shotgun_metagenomic,8,108234,56508
2014,10,wastewater_metagenome,113,248108,117350
2014,10,wastewater_shotgun_metagenomic,21,192397,92739
2014,11,wastewater_metagenome,106,93196,52097
2014,11,wastewater_shotgun_metagenomic,7,75433,41971
2014,12,wastewater_metagenome,72,77807,41006
2014,12,wastewater_shotgun_metagenomic,6,59200,30249
2015,1,wastewater_metagenome,79,52554,31530
2015,1,wastewater_shotgun_metagenomic,14,49499,29837
2015,2,wastewater_metagenome,234,34035,19439
2015,2,wastewater_shotgun_metagenomic,5,17676,10416
2015,3,wastewater_metagenome,223,44302,24175
2015,3,wastewater_shotgun_metagenomic,14,16439,8649
2015,4,wastewater_metagenome,90,40740,21893
2015,4,wastewater_shotgun_metagenomic,5,16652,9566
2015,5,wastewater_metagenome,164,64998,33599
2015,5,wastewater_shotgun_metagenomic,17,41081,21171
2015,6,wastewater_metagenome,90,3365,1736
2015,6,wastewater_shotgun_metagenomic,21,315,130
2015,7,wastewater_metagenome,265,139488,56834
2015,7,wastewater_shotgun_metagenomic,41,121299,47455
2015,8,wastewater_metagenome,267,38175,18720
2015,8,wastewater_shotgun_metagenomic,5,21668,9292
2015,9,wastewater_metagenome,131,9453,5129
2015,9,wastewater_shotgun_metagenomic,2,64,36
2015,10,wastewater_metagenome,187,156651,62974
2015,10,wastewater_shotgun_metagenomic,29,144453,55696
2015,11,wastewater_metagenome,294,121704,68618
2015,11,wastewater_shotgun_metagenomic,26,111951,63421
2015,12,wastewater_metagenome,235,12282,58599
2015,12,wastewater_shotgun_metagenomic,29,6987,55815
2016,1,wastewater_metagenome,557,1339510,581310
2016,1,wastewater_shotgun_metagenomic,230,1328127,574578
2016,2,wastewater_metagenome,683,1709842,738307
2016,2,wastewater_shotgun_metagenomic,353,1686871,728287
2016,3,wastewater_metagenome,578,612780,241289
2016,3,wastewater_shotgun_metagenomic,95,502189,199080
2016,4,wastewater_metagenome,427,346969,132540
2016,4,wastewater_shotgun_metagenomic,55,270181,97751
2016,5,wastewater_metagenome,315,213223,87161
2016,5,wastewater_shotgun_metagenomic,37,50365,23741
2016,6,wastewater_metagenome,333,443210,184783
2016,6,wastewater_shotgun_metagenomic,73,336112,146594
2016,7,wastewater_metagenome,504,292479,96199
2016,7,wastewater_shotgun_metagenomic,51,191073,68032
2016,8,wastewater_metagenome,463,335754,181353
2016,8,wastewater_shotgun_metagenomic,141,316752,171005
2016,9,wastewater_metagenome,222,108078,76273
2016,9,wastewater_shotgun_metagenomic,16,17381,44360
2016,10,wastewater_metagenome,481,1015741,549885
2016,10,wastewater_shotgun_metagenomic,239,998514,539757
2016,11,wastewater_metagenome,487,407138,224484
2016,11,wastewater_shotgun_metagenomic,53,323120,197052
2016,12,wastewater_metagenome,321,402086,168537
2016,12,wastewater_shotgun_metagenomic,34,110557,67581
2017,1,wastewater_metagenome,278,362823,188078
2017,1,wastewater_shotgun_metagenomic,40,281451,161280
2017,2,wastewater_metagenome,352,256327,120821
2017,2,wastewater_shotgun_metagenomic,31,171363,91702
