Sampling site	N (weeks)	SARS-CoV-2 R (Raw)	SARS-CoV-2 p (Raw)	SARS-CoV-2 R (PMMoV)	SARS-CoV-2 p (PMMoV)	SARS-CoV-2 R (ToBRFV)	SARS-CoV-2 p (ToBRFV)	Influenza A R (Raw)	Influenza A p (Raw)	Influenza A R (PMMoV)	Influenza A p (PMMoV)	Influenza A R (ToBRFV)	Influenza A p (ToBRFV)	RSV R (Raw)	RSV p (Raw)	RSV R (PMMoV)	RSV p (PMMoV)	RSV R (ToBRFV)	RSV p (ToBRFV)	Median PCR freq (days)	Median MGS freq (days)
**MU-sequenced**																					
Boston DITP North, MA	64	-0.2842490842490842	0.022825022799827597	0.6994505494505494	1.2804703109437946e-10	0.7612179487179486	2.85723099422389e-13	0.6619423662360125	2.5862190246666267e-09	0.7681063969727835	1.2902847119082928e-13	0.7756993732419865	5.201308229663357e-14	0.7598695809909187	3.327937579007762e-13	0.8403499090348293	3.862864004754319e-18	0.8423055487957591	2.7183576132864253e-18	2	7
Boston DITP South, MA	64	-0.20691391941391937	0.1009026903379826	0.7122710622710622	4.1135936637166336e-11	0.6923534798534798	2.3410490547372544e-10	0.6857584750741449	4.0392901655731446e-10	0.8221732273846375	8.203982525898422e-17	0.823940971566379	6.189904573374916e-17	0.6208057211910432	4.4378827381241136e-08	0.7073751337868001	6.392214368293136e-11	0.7052431595916032	7.723188163713096e-11	2	7
Chicago (CHI-A), IL	69	-0.23412495432955793	0.052835514115093914	0.3683960540738035	0.0018422638709304025	0.37873584216295214	0.0013320260999597046	0.28038069971764334	0.019622685484705398	0.23922406749955302	0.04773858564988616	0.23701390634217875	0.0498958720311717	0.739095958584026	4.134693380453641e-13	0.7322859320914803	8.670716504786942e-13	0.7344424404807864	6.875018211894396e-13	4	7
Chicago (CHI-B), IL	63	0.21193356374807987	0.09541780712462253	0.8377496159754225	1.1295272257085566e-17	0.8487423195084486	1.574684558527173e-18	0.22049754711855798	0.08246807995840237	0.3102318138428009	0.013343637318391834	0.30828846209999106	0.0139651395765455	0.5227319718874196	1.1084719583399229e-05	0.5170142254639506	1.4353085756388154e-05	0.5230105183494859	1.0944748260563687e-05	4	7
Chicago (CHI-D1), IL	63	0.03809089491075597	0.7669319617289388	0.4992619439436893	3.1101027517189115e-05	0.6626183590429994	3.3089997732464528e-09	0.5509502249966617	2.8838978007586778e-06	0.5833476748875072	5.239068834797476e-07	0.5969572640479862	2.418345119195356e-07	0.1246912278452811	0.33020851555890174	0.24136568280983292	0.056689473591683	0.21070582672835655	0.0973977226313826	4	7
Chicago (CHI-D2), IL	63	0.022489709219520065	0.8611157571249226	0.5568183182322796	2.145723468981653e-06	0.5881647005595936	4.0010832767859263e-07	0.5156666463460478	1.524404577299685e-05	0.5704583279510901	1.055452247258586e-06	0.561421807995329	1.6947726458976544e-06	0.4576825301536029	0.0001623163988237689	0.4592567977682651	0.0001530524356791721	0.4115421775202316	0.0008054501960933821	4	7
Ottumwa WPCF, IA	46	0.667468393462843	4.0535283550355354e-07	0.8981190255935863	2.6505748680208424e-17	0.8422448350292937	2.1968445273025282e-13	0.4158006724355034	0.004054776311065442	0.636960745315022	1.9433255298803576e-06	0.6368373989274707	1.955003314534375e-06	0.5353580034446918	0.00012626527568061332	0.6437193187380553	1.3938161391370123e-06	0.6408111387476849	1.609694993563524e-06	2	7
Columbia WWTP, MO	101	0.798229470005824	1.5987227711817526e-23	0.7824577751892836	4.372616999424453e-22	0.7652533488642982	1.1963203646473943e-20	0.5429878161396938	8.313697637120768e-07	0.5573663700318573	3.667961803754323e-07	0.567438701116258	2.0200078260698372e-07	0.7047191936041757	2.7888205336787946e-16	0.6970870082345885	7.898221031548301e-16	0.7543261211890004	1.2984509009357083e-19	7	7
Kansas City Westside WWTP, MO	9	0.26666666666666666	0.4879222748387009	0.43333333333333335	0.2439524358800516	0.45	0.22421610749233667	0.8728715609439694	0.004659214943993945	0.8728715609439694	0.004659214943993945	0.8728715609439694	0.004659214943993945	0.5868368683374969	0.12619898553608933	0.5389318178609664	0.16811803527951477	0.5868368683374969	0.12619898553608933	7	7
