Date	Cost per Tb	Cost per sample (279 Gb)	Source
Jan 2007	$522.71M	$146.03M	NHGRI
Jan 2008	$102.13M	$28.53M	NHGRI
Jan 2009	$2.59M	$723.6k	NHGRI
Jan 2010	$520.0k	$145.3k	NHGRI
Jan 2011	$230.0k	$64.3k	NHGRI
Jan 2012	$90.0k	$25.1k	NHGRI
Jan 2013	$60.0k	$16.8k	NHGRI
Jan 2014	$40.0k	$11.2k	NHGRI
Jan 2015	$40.0k	$11.2k	NHGRI
Oct 2015	$14.0k	$3.9k	NHGRI
Feb 2017	$11.0k	$3.1k	NHGRI
Feb 2018	$14.0k	$3.9k	NHGRI
Feb 2019	$11.0k	$3.1k	NHGRI
Feb 2020	$7.0k	$2.0k	NHGRI
Feb 2021	$9.0k	$2.5k	NHGRI
Feb 2022	$6.0k	$1.7k	NHGRI
Jul 2023	$5.0k	$1.4k	estimated
Jul 2024	$3.0k	$838.1	estimated
Jan 2025	$2.0k	$558.7	estimated
Jan 2026	$2.0k	$558.7	estimated
