Site	NWSS Sewershed ID
Boston DITP North, MA	742
Boston DITP South, MA	742
Chicago (CHI-A), IL	419
Chicago (CHI-B), IL	413
Chicago (CHI-D1), IL	423
Chicago (CHI-D2), IL	429
Ottumwa WPCF, IA	541
Columbia WWTP, MO	1045
Kansas City Blue River WWTP, MO	1074
Kansas City Westside WWTP, MO	1075
Monett WWTP, MO	1041
Miami-Dade CDWWTP, FL	309
Central Oklahoma (OK-A), OK	1704
Central Oklahoma (OK-B), OK	1706
Ontario, CA	143
Palo Alto RWQCP, CA	175
Riverside WQCP, CA	138
Sacramento, CA	140
Boise RWF, ID	372
