pathogen	site_name	seq_lab	comparison_type	comparison_source	r_value	p_value	n_points	r_formatted
Influenza A	Boise RWF, ID	MU	NWSS	NWSS ddPCR	0.7175518378941186	8.913397552261236e-08	42	0.72***
Influenza A	Boston DITP North, MA	MU	NWSS	NWSS ddPCR	0.6991232034559144	1.631397491175707e-08	50	0.70***
Influenza A	Boston DITP North, MA	MU	NWSS	NWSS ddPCR	0.892717372711353	7.596044724802518e-11	29	0.89***
Influenza A	Boston DITP South, MA	MU	NWSS	NWSS ddPCR	0.7782126450565275	2.914476128455208e-11	50	0.78***
Influenza A	Boston DITP South, MA	MU	NWSS	NWSS ddPCR	0.7500309394740037	2.8102408373929776e-06	29	0.75***
Influenza A	Chicago (CHI-A), IL	MU	NWSS	NWSS ddPCR	0.238924571559548	0.04802634880907506	69	0.24*
Influenza A	Chicago (CHI-B), IL	MU	NWSS	NWSS ddPCR	0.3102318138428009	0.013343637318391834	63	0.31*
Influenza A	Chicago (CHI-D1), IL	MU	NWSS	NWSS ddPCR	0.5833476748875072	5.239068834797476e-07	63	0.58***
Influenza A	Chicago (CHI-D2), IL	MU	NWSS	NWSS ddPCR	0.5704583279510901	1.055452247258586e-06	63	0.57***
Influenza A	Columbia WWTP, MO	MU	NWSS	NWSS ddPCR	0.5754832882070199	1.236407673331778e-07	72	0.58***
Influenza A	Kansas City Westside WWTP, MO	MU	NWSS	NWSS ddPCR	0.8728715609439694	0.004659214943993945	8	0.87**
Influenza A	Miami-Dade CDWWTP, FL	SB	NWSS	NWSS ddPCR			26	nan
Influenza A	Monett WWTP, MO	MU	NWSS	NWSS ddPCR	0.6052099385894467	0.002214798394886972	23	0.61**
Influenza A	Ottumwa WPCF, IA	MU	NWSS	NWSS ddPCR	0.6764794872567986	2.942812169954259e-05	31	0.68***
Influenza A	Riverside WQCP, CA	MU	NWSS	NWSS ddPCR	0.9047946988933845	4.849403311263304e-16	41	0.90***
RSV	Boise RWF, ID	MU	NWSS	NWSS ddPCR	0.680329517953006	7.179878743648246e-07	42	0.68***
RSV	Boston DITP North, MA	MU	NWSS	NWSS ddPCR	0.8316897676027432	7.419979397359872e-14	50	0.83***
RSV	Boston DITP North, MA	MU	NWSS	NWSS ddPCR	0.8069794798464829	1.2364806117754386e-07	29	0.81***
RSV	Boston DITP South, MA	MU	NWSS	NWSS ddPCR	0.5850548669845148	8.115661388354824e-06	50	0.59***
RSV	Boston DITP South, MA	MU	NWSS	NWSS ddPCR	0.7773907491045485	7.017192124226923e-07	29	0.78***
RSV	Chicago (CHI-A), IL	MU	NWSS	NWSS ddPCR	0.7327466283282644	8.252898172800623e-13	69	0.73***
RSV	Chicago (CHI-B), IL	MU	NWSS	NWSS ddPCR	0.5170142254639506	1.4353085756388154e-05	63	0.52***
RSV	Chicago (CHI-D1), IL	MU	NWSS	NWSS ddPCR	0.24136568280983292	0.056689473591683	63	0.24
RSV	Chicago (CHI-D2), IL	MU	NWSS	NWSS ddPCR	0.4592567977682651	0.0001530524356791721	63	0.46***
RSV	Columbia WWTP, MO	MU	NWSS	NWSS ddPCR	0.6979316769711436	7.05001207361164e-16	100	0.70***
RSV	Kansas City Westside WWTP, MO	MU	NWSS	NWSS ddPCR	0.554257096618662	0.1539883457589951	8	0.55
RSV	Miami-Dade CDWWTP, FL	SB	NWSS	NWSS ddPCR			26	nan
RSV	Monett WWTP, MO	MU	NWSS	NWSS ddPCR	0.3224111636798169	0.12440772198154329	24	0.32
RSV	Ottumwa WPCF, IA	MU	NWSS	NWSS ddPCR	0.8471409550262587	1.8627574254673098e-09	31	0.85***
RSV	Riverside WQCP, CA	MU	NWSS	NWSS ddPCR	0.9246358129780218	6.100822457829433e-18	41	0.92***
SARS-CoV-2	Boise RWF, ID	MU	NWSS	NWSS ddPCR	0.5917672797990439	3.666871551472818e-05	42	0.59***
SARS-CoV-2	Boston DITP North, MA	MU	NWSS	NWSS ddPCR	0.68	5.59732920052446e-08	50	0.68***
SARS-CoV-2	Boston DITP North, MA	MU	NWSS	NWSS ddPCR	0.6505727355665515	0.0001329778245166903	29	0.65***
SARS-CoV-2	Boston DITP South, MA	MU	NWSS	NWSS ddPCR	0.7140936374549821	5.8010742631533685e-09	50	0.71***
SARS-CoV-2	Boston DITP South, MA	MU	NWSS	NWSS ddPCR	0.32281916192769905	0.08762928769646312	29	0.32
SARS-CoV-2	Chicago (CHI-A), IL	MU	NWSS	NWSS ddPCR	0.36620387285348927	0.001970731922746442	69	0.37**
SARS-CoV-2	Chicago (CHI-B), IL	MU	NWSS	NWSS ddPCR	0.8341013824884793	2.1034231422110032e-17	63	0.83***
SARS-CoV-2	Chicago (CHI-D1), IL	MU	NWSS	NWSS ddPCR	0.5019981518956907	2.7683592670055054e-05	63	0.50***
SARS-CoV-2	Chicago (CHI-D2), IL	MU	NWSS	NWSS ddPCR	0.5568183182322796	2.145723468981653e-06	63	0.56***
SARS-CoV-2	Columbia WWTP, MO	MU	NWSS	NWSS ddPCR	0.7791729761211414	8.414647401018921e-22	101	0.78***
SARS-CoV-2	Kansas City Westside WWTP, MO	MU	NWSS	NWSS ddPCR	0.43333333333333335	0.2439524358800516	9	0.43
SARS-CoV-2	Miami-Dade CDWWTP, FL	SB	NWSS	NWSS ddPCR	0.6895726495726495	9.742665583386127e-05	26	0.69***
SARS-CoV-2	Monett WWTP, MO	MU	NWSS	NWSS ddPCR	0.7113043478260868	9.748053906858484e-05	24	0.71***
SARS-CoV-2	Ottumwa WPCF, IA	MU	NWSS	NWSS ddPCR	0.8729838709677421	1.511518721804679e-10	31	0.87***
SARS-CoV-2	Riverside WQCP, CA	MU	NWSS	NWSS ddPCR	0.8688153310104532	1.8012883032954096e-13	41	0.87***
