Date	Cost per Mb	Source
Sep 2001	$5,292.39	NHGRI
Mar 2002	$3,898.64	NHGRI
Sep 2002	$3,413.80	NHGRI
Mar 2003	$2,986.20	NHGRI
Oct 2003	$2,230.98	NHGRI
Jan 2004	$1,598.91	NHGRI
Apr 2004	$1,135.70	NHGRI
Jul 2004	$1,107.46	NHGRI
Oct 2004	$1,028.85	NHGRI
Jan 2005	$974.16	NHGRI
Apr 2005	$897.76	NHGRI
Jul 2005	$898.90	NHGRI
Oct 2005	$766.73	NHGRI
Jan 2006	$699.20	NHGRI
Apr 2006	$651.81	NHGRI
Jul 2006	$636.41	NHGRI
Oct 2006	$581.92	NHGRI
Jan 2007	$522.71	NHGRI
Apr 2007	$502.61	NHGRI
Jul 2007	$495.96	NHGRI
Oct 2007	$397.09	NHGRI
Jan 2008	$102.13	NHGRI
Apr 2008	$15.03	NHGRI
Jul 2008	$8.36	NHGRI
Oct 2008	$3.81	NHGRI
Jan 2009	$2.59	NHGRI
Apr 2009	$1.72	NHGRI
Jul 2009	$1.20	NHGRI
Oct 2009	$0.78	NHGRI
Jan 2010	$0.52	NHGRI
Apr 2010	$0.35	NHGRI
Jul 2010	$0.35	NHGRI
Oct 2010	$0.32	NHGRI
Jan 2011	$0.23	NHGRI
Apr 2011	$0.19	NHGRI
Jul 2011	$0.12	NHGRI
Oct 2011	$0.09	NHGRI
Jan 2012	$0.09	NHGRI
Apr 2012	$0.07	NHGRI
Jul 2012	$0.07	NHGRI
Oct 2012	$0.07	NHGRI
Jan 2013	$0.06	NHGRI
Apr 2013	$0.06	NHGRI
Jul 2013	$0.06	NHGRI
Oct 2013	$0.06	NHGRI
Jan 2014	$0.04	NHGRI
Apr 2014	$0.05	NHGRI
Jul 2014	$0.05	NHGRI
Oct 2014	$0.06	NHGRI
Jan 2015	$0.04	NHGRI
Apr 2015	$0.05	NHGRI
Jul 2015	$0.015	NHGRI
Oct 2015	$0.014	NHGRI
May 2016	$0.013	NHGRI
Aug 2016	$0.017	NHGRI
Nov 2016	$0.015	NHGRI
Feb 2017	$0.011	NHGRI
May 2017	$0.015	NHGRI
Aug 2017	$0.013	NHGRI
Nov 2017	$0.020	NHGRI
Feb 2018	$0.014	NHGRI
May 2018	$0.016	NHGRI
Aug 2018	$0.016	NHGRI
Nov 2018	$0.015	NHGRI
Feb 2019	$0.011	NHGRI
May 2019	$0.007	NHGRI
Aug 2019	$0.010	NHGRI
Nov 2019	$0.008	NHGRI
Feb 2020	$0.007	NHGRI
May 2020	$0.008	NHGRI
Aug 2020	$0.008	NHGRI
Nov 2020	$0.006	NHGRI
Feb 2021	$0.009	NHGRI
May 2021	$0.005	NHGRI
Aug 2021	$0.006	NHGRI
Nov 2021	$0.006	NHGRI
Feb 2022	$0.006	NHGRI
May 2022	$0.006	NHGRI
Jul 2023	$0.005	estimated
Jul 2024	$0.003	estimated
Jan 2025	$0.002	estimated
Jan 2026	$0.002	estimated
