sra_accession,site_name,date,total_read_pairs,total_virus_hits,dedup_virus_hits,dup_virus_hits,dup_rate,ra,ra_dedup,below_species_counts,species_counts,genus_counts,family_counts,order_counts,class_counts,phylum_counts,kingdom_counts,domain_counts,realm_counts,unresolved_counts
SAMN55037916,"Columbia WWTP, MO",2023-12-26,921045273,173610,117171.0,56439.0,0.3250907205806117,0.0001884923630675,0.000127215244934,153362,18570,1296,266,0,0,3,0,0,0,113
SAMN52958976,"Columbia WWTP, MO",2024-01-02,2631730289,605038,387303.0,217735.0,0.3598699585811139,0.0002299012184223,0.0001471666764709,551970,46734,4596,1201,0,0,0,1,0,0,536
SAMN52958977,"Columbia WWTP, MO",2024-01-09,2484427743,1012437,653345.0,359092.0,0.3546808344617986,0.0004075131598625,0.0002629760522683,937068,66748,6850,1032,0,0,0,6,0,0,733
SAMN52958978,"Columbia WWTP, MO",2024-01-16,1351694366,1168661,575839.0,592822.0,0.5072660078500095,0.0008645896804751,0.0004260127248322,1048234,110474,4141,3338,0,3,0,0,0,0,2471
SAMN52958979,"Columbia WWTP, MO",2024-01-23,1341763590,5448028,2139478.0,3308550.0,0.6072931343230982,0.004060348663955,0.0015945267973771,5389134,48251,8872,1240,0,0,0,0,0,0,531
SAMN52958980,"Columbia WWTP, MO",2024-01-30,1253032155,1554892,767512.0,787380.0,0.5063888681657632,0.0012409035105727,0.0006125237863508,1465130,83391,3840,561,0,0,0,0,0,0,1970
SAMN52958981,"Columbia WWTP, MO",2024-02-06,1258957256,1520908,663412.0,857496.0,0.5638053057778643,0.0012080696089971,0.0005269535536955,1480077,31274,8611,533,0,0,0,0,0,0,413
SAMN52958982,"Columbia WWTP, MO",2024-02-13,1542733982,4669701,1793629.0,2876072.0,0.6159006754393911,0.0030268996823069,0.0011626301234868,4632299,30675,5736,466,0,0,3,0,0,0,522
SAMN52958983,"Columbia WWTP, MO",2024-02-20,1434992035,15518895,4479616.0,11039279.0,0.7113443966210223,0.0108146210024085,0.0031217009507652,15389945,61807,65339,775,0,0,3,2,0,0,1024
SAMN52958984,"Columbia WWTP, MO",2024-02-27,1219639909,810938,558914.0,252024.0,0.310780848844178,0.0006648995281442,0.0004582614883914,755046,50884,4665,101,0,0,0,0,0,0,242
SAMN52958985,"Columbia WWTP, MO",2024-03-05,1342877563,986515,618766.0,367749.0,0.3727758827792786,0.0007346276586795,0.0004607761847012,946166,31521,8433,217,3,1,0,0,0,0,174
SAMN52958986,"Columbia WWTP, MO",2024-03-12,1355105392,733328,375754.0,357574.0,0.4876044553051294,0.0005411593845978,0.0002772876576377,701527,22015,8979,621,1,0,0,0,0,0,185
SAMN52958987,"Columbia WWTP, MO",2024-03-19,1388744532,350940,210077.0,140863.0,0.4013877016014133,0.0002527030651883,0.0001512711626647,335814,9534,5335,164,0,0,0,0,0,0,93
SAMN52958988,"Columbia WWTP, MO",2024-03-26,1409519087,416194,139085.0,277109.0,0.6658169026944165,0.000295273759567,9.867549952517952e-05,388012,18306,9373,294,0,0,0,0,0,0,209
SAMN52958989,"Columbia WWTP, MO",2024-04-02,1347722082,430855,162681.0,268174.0,0.6224228568776038,0.0003196912818706,0.0001207081208898,378420,42024,9802,452,1,0,0,0,0,0,156
